,id,time,fuel
0,EZY92FN_LPPT_EGGP_20140912121500.scn,14:35:06,[55252.95949526]
1,KLM59Z_EHAM_LSGG_20140912193000.scn,06:17:39,[57630.4844804]
2,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:55:37,[61992.21323805]
3,ADH931_LICC_LIRP_20140912072000.scn,06:08:13,[61446.77673686]
4,AEE929_LLBG_LGAV_20140912023000.scn,04:13:24,[60652.83427864]
5,LBT7362_DTNH_LKPR_20140912104500.scn,07:09:15,[59217.04547083]
6,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:39,[63763.10845456]
7,BLX328_LGKO_ESSA_20140912103000.scn,13:49:46,[134838.36209236]
8,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:46,[59288.12826385]
9,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:55,[58708.48051071]
10,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:37,[16281.9024099]
11,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:24,[63911.86090778]
12,TAY011_KJFK_EBLG_20140912140000.scn,20:46:39,[227454.76875627]
13,AZA1572_LIEA_LIRF_20140912053000.scn,06:12:18,[62573.0321458]
14,EXS79G_EGNM_LPMA_20140912132000.scn,09:47:37,[45023.95949777]
15,EIN111_EINN_KJFK_20140912112000.scn,18:12:43,[75764.68145834]
16,AFR234H_LFML_LIPZ_20140912082000.scn,09:14:01,[62127.79634084]
17,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:46,[53568.33599148]
18,KLM1395_EHAM_ULLI_20140912104500.scn,13:10:34,[55194.88027413]
19,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:51,[16790.17943621]
20,RYR5008_GMMW_EDFH_20140912183500.scn,21:17:52,[59072.75297698]
21,EZY471_EGAA_EGPF_20140912201000.scn,00:02:30,[59805.26079994]
22,PGT424_LIPE_LTFJ_20140912122000.scn,14:28:52,[60363.75576412]
23,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:55,[60535.12388068]
24,AFL2352_UUEE_LOWW_20140912122500.scn,14:44:27,[66317.34581912]
25,BEL724_LSGG_EBBR_20140912190500.scn,20:02:18,[22817.77075205]
26,SWR779_EBBR_LSZH_20140912085400.scn,18:53:52,[62590.96420173]
27,ROT608D_LRTR_LROP_20140912161000.scn,16:52:30,[117585.74528025]
28,TFL219_EHAM_LGSM_20140912033000.scn,06:44:03,[58253.81257485]
29,AUA381_LOWW_UKLL_20140912110000.scn,12:07:00,[16675.56299762]
30,FPO551_LFRN_LFRB_20140912005500.scn,01:12:46,[51993.9194225]
31,DTH3057_LFMH_DAAS_20140912143000.scn,16:30:21,[62168.11918677]
32,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:18,[50848.4206588]
33,AUA601_LOWW_UUDD_20140912080000.scn,10:13:27,[59110.15801137]
34,BER717E_LOWG_EDDT_20140912125000.scn,13:39:55,[58150.18659455]
35,DLH156_EDDF_EDDP_20140912072500.scn,08:06:45,[59030.83604061]
36,SAS1842_LIRF_ESSA_20140912081000.scn,16:32:31,[59360.51116463]
