trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
1323248,183,NULL,0,"2014-09-04 11:13:00",NULL,NULL,1,1,183,...,A,48.1102777778,16.5697222222
1323248,42821,NULL,10,"2014-09-04 11:13:08",NULL,NULL,1,2,42821,...,GEO,48.11055555555556,16.575833333333332
1323248,106092,NULL,20,"2014-09-04 11:13:32",NULL,NULL,1,3,106092,...,GEO,48.11083333333333,16.587777777777777
1323248,106093,NULL,25,"2014-09-04 11:13:44",NULL,NULL,1,4,106093,...,GEO,48.11138888888889,16.599722222222223
1323248,106094,NULL,35,"2014-09-04 11:14:11",NULL,NULL,1,5,106094,...,GEO,48.11194444444445,16.6175
1323248,106095,NULL,50,"2014-09-04 11:14:51",NULL,NULL,1,6,106095,...,GEO,48.113055555555555,16.6475
1323248,106096,NULL,90,"2014-09-04 11:16:50",NULL,NULL,1,7,106096,...,GEO,48.11638888888889,16.743333333333332
1323248,85006,NULL,110,"2014-09-04 11:17:55",NULL,NULL,1,8,85006,...,GEO,48.11833333333333,16.796944444444446
1323248,106097,NULL,150,"2014-09-04 11:20:29",NULL,NULL,1,9,106097,...,GEO,48.12305555555555,16.92861111111111
1323248,21859,NULL,180,"2014-09-04 11:22:39",NULL,NULL,1,10,21859,...,DB,48.1275,17.0483333333
1323248,146602,NULL,190,"2014-09-04 11:23:25",NULL,NULL,1,11,146602,...,GEO,48.12444444444444,17.14611111111111
1323248,35498,NULL,204,"2014-09-04 11:24:31",NULL,NULL,1,12,35498,...,DB,48.119444444399996,17.2997222222
1323248,36036,NULL,230,"2014-09-04 11:26:31",NULL,NULL,1,13,36036,...,DB,48.1786111111,17.5447222222
1323248,15350,NULL,230,"2014-09-04 11:30:02",NULL,NULL,1,14,15350,...,DB,48.2905555556,18.0505555556
1323248,27105,NULL,230,"2014-09-04 11:34:37",NULL,NULL,1,15,27105,...,DB,48.39361111109999,18.716388888900003
1323248,14416,NULL,230,"2014-09-04 11:37:19",NULL,NULL,1,16,14416,...,DB,48.4533333333,19.1158333333
1323248,34467,NULL,230,"2014-09-04 11:39:34",NULL,NULL,1,17,34467,...,DB,48.492222222200006,19.451388888900002
1323248,9335,NULL,230,"2014-09-04 11:40:39",NULL,NULL,1,18,9335,...,DB,48.5108333333,19.6158333333
1323248,13287,NULL,230,"2014-09-04 11:45:03",NULL,NULL,1,19,13287,...,DB,48.5825,20.2666666667
1323248,14946,NULL,230,"2014-09-04 11:48:07",NULL,NULL,1,20,14946,...,DB,48.630555555600004,20.7255555556
1323248,31216,NULL,230,"2014-09-04 11:50:33",NULL,NULL,1,21,31216,...,DB,48.6675,21.0911111111
1323248,35817,NULL,230,"2014-09-04 11:51:38",NULL,NULL,1,22,35817,...,DB,48.683055555600006,21.2480555556
1323248,9661,NULL,230,"2014-09-04 11:53:53",NULL,NULL,1,23,9661,...,DB,48.7275,21.592777777800002
1323248,26839,NULL,230,"2014-09-04 11:59:11",NULL,NULL,1,24,26839,...,DB,48.8238888889,22.375
1323248,8727,NULL,230,"2014-09-04 12:03:41",NULL,NULL,1,25,8727,...,DB,48.9408333333,23.0444444444
1323248,5081041,NULL,230,"2014-09-04 12:04:03",NULL,NULL,1,26,5081041,...,GEO,48.969722222222224,23.074166666666667
1323248,11187,NULL,205,"2014-09-04 12:05:21",NULL,NULL,1,27,11187,...,DB,49.0783333333,23.185
1323248,146605,NULL,190,"2014-09-04 12:06:08",NULL,NULL,1,28,146605,...,GEO,49.145833333333336,23.255555555555556
1323248,146606,NULL,170,"2014-09-04 12:07:03",NULL,NULL,1,29,146606,...,GEO,49.22083333333333,23.33388888888889
1323248,146607,NULL,130,"2014-09-04 12:09:23",NULL,NULL,1,30,146607,...,GEO,49.41583333333333,23.5375
1323248,146608,NULL,110,"2014-09-04 12:10:05",NULL,NULL,1,31,146608,...,GEO,49.468333333333334,23.592222222222222
1323248,13583,NULL,90,"2014-09-04 12:10:49",NULL,NULL,1,32,13583,...,DB,49.5283333333,23.655
1323248,146609,NULL,70,"2014-09-04 12:11:46",NULL,NULL,1,33,146609,...,GEO,49.58611111111111,23.717222222222222
1323248,134857,NULL,50,"2014-09-04 12:12:45",NULL,NULL,1,34,134857,...,GEO,49.65111111111111,23.787222222222223
1323248,146610,NULL,35,"2014-09-04 12:13:36",NULL,NULL,1,35,146610,...,GEO,49.69416666666667,23.83388888888889
1323248,146611,NULL,25,"2014-09-04 12:14:11",NULL,NULL,1,36,146611,...,GEO,49.73027777777778,23.872777777777777
1323248,134858,NULL,20,"2014-09-04 12:14:38",NULL,NULL,1,37,134858,...,GEO,49.74472222222222,23.888333333333332
1323248,146612,NULL,15,"2014-09-04 12:15:12",NULL,NULL,1,38,146612,...,GEO,49.76638888888889,23.911666666666665
1323248,146613,NULL,10,"2014-09-04 12:15:52",NULL,NULL,1,39,146613,...,GEO,49.780833333333334,23.927222222222223
1323248,2849,NULL,0,"2014-09-04 12:16:48",NULL,NULL,1,40,2849,...,A,49.8097222222,23.9583333333
