trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2066297,844,NULL,0,"2014-09-12 05:40:00",NULL,NULL,1,1,844,...,A,40.631111111100005,8.2886111111
2066297,121825,NULL,5,"2014-09-12 05:40:13",NULL,NULL,1,2,121825,...,GEO,40.63111111111111,8.2875
2066297,121826,NULL,25,"2014-09-12 05:41:14",NULL,NULL,1,3,121826,...,GEO,40.630833333333335,8.283055555555556
2066297,121827,NULL,35,"2014-09-12 05:41:41",NULL,NULL,1,4,121827,...,GEO,40.63055555555555,8.28
2066297,121828,NULL,50,"2014-09-12 05:42:16",NULL,NULL,1,5,121828,...,GEO,40.63027777777778,8.276666666666667
2066297,121829,NULL,70,"2014-09-12 05:42:59",NULL,NULL,1,6,121829,...,GEO,40.62972222222222,8.27
2066297,121830,NULL,90,"2014-09-12 05:43:44",NULL,NULL,1,7,121830,...,GEO,40.629444444444445,8.264722222222222
2066297,121831,NULL,130,"2014-09-12 05:45:26",NULL,NULL,1,8,121831,...,GEO,40.628055555555555,8.245
2066297,29810,NULL,133,"2014-09-12 05:45:35",NULL,NULL,1,9,29810,...,DB,40.6280555556,8.243888888899999
2066297,122869,NULL,150,"2014-09-12 05:46:23",NULL,NULL,1,10,122869,...,GEO,40.655833333333334,8.332777777777778
2066297,122870,NULL,190,"2014-09-12 05:48:25",NULL,NULL,1,11,122870,...,GEO,40.73916666666667,8.599722222222223
2066297,18402,NULL,220,"2014-09-12 05:50:24",NULL,NULL,1,12,18402,...,DB,40.8191666667,8.855555555599999
2066297,21707,NULL,257,"2014-09-12 05:53:30",NULL,NULL,1,13,21707,...,DB,40.9458333333,9.2663888889
2066297,220758,NULL,270,"2014-09-12 05:54:46",NULL,NULL,1,14,220758,...,GEO,41.000277777777775,9.445833333333333
2066297,14114,NULL,296,"2014-09-12 05:56:57",NULL,NULL,1,15,14114,...,DB,41.0988888889,9.7708333333
2066297,23659,NULL,314,"2014-09-12 05:58:38",NULL,NULL,1,16,23659,...,DB,41.1691666667,10.0094444444
2066297,122872,NULL,320,"2014-09-12 05:59:15",NULL,NULL,1,17,122872,...,GEO,41.19611111111111,10.1
2066297,20406,NULL,320,"2014-09-12 05:59:37",NULL,NULL,1,18,20406,...,DB,41.2127777778,10.1563888889
2066297,122873,NULL,320,"2014-09-12 06:04:53",NULL,NULL,1,19,122873,...,GEO,41.44861111111111,10.966388888888888
2066297,9302,NULL,298,"2014-09-12 06:05:36",NULL,NULL,1,20,9302,...,DB,41.4780555556,11.0677777778
2066297,122874,NULL,285,"2014-09-12 06:06:11",NULL,NULL,1,21,122874,...,GEO,41.50277777777778,11.15611111111111
2066297,108393,NULL,250,"2014-09-12 06:07:43",NULL,NULL,1,22,108393,...,GEO,41.56166666666667,11.366111111111111
2066297,11934,NULL,240,"2014-09-12 06:08:10",NULL,NULL,1,23,11934,...,DB,41.5772222222,11.421388888900001
2066297,122875,NULL,240,"2014-09-12 06:09:54",NULL,NULL,1,24,122875,...,GEO,41.64333333333333,11.657222222222222
2066297,122876,NULL,210,"2014-09-12 06:11:16",NULL,NULL,1,25,122876,...,GEO,41.693888888888885,11.836944444444445
2066297,15001,NULL,204,"2014-09-12 06:11:33",NULL,NULL,1,26,15001,...,DB,41.7033333333,11.8705555556
2066297,138663,NULL,190,"2014-09-12 06:12:13",NULL,NULL,1,27,138663,...,GEO,41.67805555555555,11.905555555555555
2066297,122877,NULL,170,"2014-09-12 06:13:11",NULL,NULL,1,28,122877,...,GEO,41.63805555555555,11.960277777777778
2066297,122878,NULL,150,"2014-09-12 06:14:11",NULL,NULL,1,29,122878,...,GEO,41.60194444444444,12.01
2066297,92892,NULL,130,"2014-09-12 06:15:12",NULL,NULL,1,30,92892,...,GEO,41.56194444444444,12.065
2066297,94270,NULL,90,"2014-09-12 06:17:08",NULL,NULL,1,31,94270,...,GEO,41.489444444444445,12.164444444444445
2066297,92895,NULL,70,"2014-09-12 06:18:50",NULL,NULL,1,32,92895,...,GEO,41.44222222222222,12.229166666666666
2066297,34877,NULL,61,"2014-09-12 06:19:35",NULL,NULL,1,33,34877,...,DB,41.4205555556,12.2591666667
2066297,122879,NULL,50,"2014-09-12 06:20:35",NULL,NULL,1,34,122879,...,GEO,41.492777777777775,12.255277777777778
2066297,122880,NULL,35,"2014-09-12 06:22:20",NULL,NULL,1,35,122880,...,GEO,41.59222222222222,12.25
2066297,122881,NULL,25,"2014-09-12 06:23:32",NULL,NULL,1,36,122881,...,GEO,41.664722222222224,12.24611111111111
2066297,49221,NULL,20,"2014-09-12 06:24:13",NULL,NULL,1,37,49221,...,GEO,41.69166666666667,12.244722222222222
2066297,1368,NULL,0,"2014-09-12 06:27:06",NULL,NULL,1,38,1368,...,A,41.800277777800005,12.238888888900002
