trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2086183,1394,NULL,0,"2014-09-12 14:49:00",NULL,NULL,1,1,1394,...,A,50.9013888889,4.4844444444
2086183,192280,NULL,10,"2014-09-12 14:49:18",NULL,NULL,1,2,192280,...,GEO,50.89555555555555,4.495
2086183,3533595,NULL,50,"2014-09-12 14:50:38",NULL,NULL,1,3,3533595,...,GEO,50.84888888888889,4.578888888888889
2086183,3533596,NULL,90,"2014-09-12 14:51:44",NULL,NULL,1,4,3533596,...,GEO,50.79055555555556,4.683611111111111
2086183,232515,NULL,130,"2014-09-12 14:53:01",NULL,NULL,1,5,232515,...,GEO,50.69722222222222,4.851388888888889
2086183,24434,NULL,143,"2014-09-12 14:53:29",NULL,NULL,1,6,24434,...,DB,50.6622222222,4.9141666667
2086183,558834,NULL,170,"2014-09-12 14:54:30",NULL,NULL,1,7,558834,...,GEO,50.577777777777776,5.043055555555555
2086183,143090,NULL,210,"2014-09-12 14:56:19",NULL,NULL,1,8,143090,...,GEO,50.41555555555556,5.291111111111111
2086183,261290,NULL,230,"2014-09-12 14:57:22",NULL,NULL,1,9,261290,...,GEO,50.31166666666667,5.449722222222222
2086183,980313,NULL,250,"2014-09-12 14:58:36",NULL,NULL,1,10,980313,...,GEO,50.194722222222225,5.628333333333333
2086183,10937,NULL,267,"2014-09-12 14:59:48",NULL,NULL,1,11,10937,...,DB,50.077777777799994,5.806944444400001
2086183,1190648,NULL,290,"2014-09-12 15:01:13",NULL,NULL,1,12,1190648,...,GEO,49.937777777777775,6.015833333333333
2086183,12169,NULL,290,"2014-09-12 15:02:00",NULL,NULL,1,13,12169,...,DB,49.8613888889,6.1297222222
2086183,34349,NULL,290,"2014-09-12 15:04:00",NULL,NULL,1,14,34349,...,DB,49.728611111099994,6.5194444444
2086183,2646340,NULL,300,"2014-09-12 15:04:46",NULL,NULL,1,15,2646340,...,GEO,49.685833333333335,6.640555555555555
2086183,1004111,NULL,340,"2014-09-12 15:08:09",NULL,NULL,1,16,1004111,...,GEO,49.51,7.1369444444444445
2086183,7742510,NULL,350,"2014-09-12 15:09:06",NULL,NULL,1,17,7742510,...,GEO,49.458333333333336,7.2825
2086183,14602,NULL,350,"2014-09-12 15:15:36",NULL,NULL,1,18,14602,...,DB,49.1025,8.2875
2086183,17856,NULL,350,"2014-09-12 15:17:34",NULL,NULL,1,19,17856,...,DB,48.9930555556,8.5841666667
2086183,10242,NULL,350,"2014-09-12 15:24:51",NULL,NULL,1,20,10242,...,DB,48.17,8.3213888889
2086183,8228,NULL,350,"2014-09-12 15:27:35",NULL,NULL,1,21,8228,...,DB,47.8583333333,8.3966666667
2086183,27080,NULL,350,"2014-09-12 15:29:04",NULL,NULL,1,22,27080,...,DB,47.689444444399996,8.4369444444
2086183,25427,NULL,350,"2014-09-12 15:32:08",NULL,NULL,1,23,25427,...,DB,47.2602777778,8.5
2086183,77601,NULL,340,"2014-09-12 15:32:27",NULL,NULL,1,24,77601,...,GEO,47.21611111111111,8.506388888888889
2086183,159781,NULL,330,"2014-09-12 15:32:45",NULL,NULL,1,25,159781,...,GEO,47.18083333333333,8.511666666666667
2086183,77602,NULL,330,"2014-09-12 15:32:53",NULL,NULL,1,26,77602,...,GEO,47.16305555555556,8.514166666666666
2086183,215283,NULL,300,"2014-09-12 15:33:43",NULL,NULL,1,27,215283,...,GEO,47.05722222222222,8.529722222222222
2086183,35127,NULL,297,"2014-09-12 15:33:51",NULL,NULL,1,28,35127,...,DB,47.0394444444,8.5322222222
2086183,137193,NULL,285,"2014-09-12 15:34:17",NULL,NULL,1,29,137193,...,GEO,46.97638888888889,8.54138888888889
2086183,215284,NULL,250,"2014-09-12 15:35:35",NULL,NULL,1,30,215284,...,GEO,46.814166666666665,8.564444444444444
2086183,11015,NULL,250,"2014-09-12 15:37:10",NULL,NULL,1,31,11015,...,DB,46.6066666667,8.5941666667
2086183,15986,NULL,250,"2014-09-12 15:38:28",NULL,NULL,1,32,15986,...,DB,46.4361111111,8.6183333333
2086183,35517,NULL,250,"2014-09-12 15:41:00",NULL,NULL,1,33,35517,...,DB,46.104444444399995,8.665
2086183,151092,NULL,250,"2014-09-12 15:44:49",NULL,NULL,1,34,151092,...,GEO,45.79194444444445,9.1475
2086183,149358,NULL,190,"2014-09-12 15:47:12",NULL,NULL,1,35,149358,...,GEO,45.60805555555555,9.43138888888889
2086183,29666,NULL,173,"2014-09-12 15:47:55",NULL,NULL,1,36,29666,...,DB,45.5591666667,9.507222222200001
