trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2078067,7716,NULL,0,"2014-09-12 10:40:00",NULL,NULL,1,1,7716,...,A,36.7947222222,27.091111111100002
2078067,59467,NULL,10,"2014-09-12 10:40:17",NULL,NULL,1,2,59467,...,GEO,36.799166666666665,27.083333333333332
2078067,59468,NULL,15,"2014-09-12 10:40:31",NULL,NULL,1,3,59468,...,GEO,36.80777777777778,27.068055555555556
2078067,62729,NULL,35,"2014-09-12 10:41:21",NULL,NULL,1,4,62729,...,GEO,36.82527777777778,27.037222222222223
2078067,59471,NULL,50,"2014-09-12 10:41:53",NULL,NULL,1,5,59471,...,GEO,36.84305555555556,27.00638888888889
2078067,188495,NULL,90,"2014-09-12 10:43:14",NULL,NULL,1,6,188495,...,GEO,36.89555555555555,26.914166666666667
2078067,188496,NULL,110,"2014-09-12 10:43:55",NULL,NULL,1,7,188496,...,GEO,36.92611111111111,26.860277777777778
2078067,12861,NULL,148,"2014-09-12 10:45:19",NULL,NULL,1,8,12861,...,DB,36.9963888889,26.737222222199996
2078067,188497,NULL,190,"2014-09-12 10:47:05",NULL,NULL,1,9,188497,...,GEO,37.180277777777775,26.783333333333335
2078067,25014,NULL,229,"2014-09-12 10:49:01",NULL,NULL,1,10,25014,...,DB,37.3988888889,26.8383333333
2078067,188498,NULL,250,"2014-09-12 10:50:14",NULL,NULL,1,11,188498,...,GEO,37.507777777777775,26.720277777777778
2078067,29933,NULL,277,"2014-09-12 10:52:06",NULL,NULL,1,12,29933,...,DB,37.685,26.528611111100002
2078067,10724,NULL,299,"2014-09-12 10:53:52",NULL,NULL,1,13,10724,...,DB,37.8663888889,26.3311111111
2078067,17569,NULL,329,"2014-09-12 10:55:56",NULL,NULL,1,14,17569,...,DB,38.0613888889,26.116666666700002
2078067,188500,NULL,340,"2014-09-12 10:56:44",NULL,NULL,1,15,188500,...,GEO,38.13611111111111,26.03388888888889
2078067,34326,NULL,353,"2014-09-12 10:57:55",NULL,NULL,1,16,34326,...,DB,38.251666666700004,25.9058333333
2078067,29747,NULL,364,"2014-09-12 10:59:08",NULL,NULL,1,17,29747,...,DB,38.3730555556,25.787777777800002
2078067,201370,NULL,380,"2014-09-12 11:01:13",NULL,NULL,1,18,201370,...,GEO,38.57888888888889,25.58416666666667
2078067,31549,NULL,380,"2014-09-12 11:07:28",NULL,NULL,1,19,31549,...,DB,39.2105555556,24.9588888889
2078067,14123,NULL,380,"2014-09-12 11:10:16",NULL,NULL,1,20,14123,...,DB,39.4997222222,24.666944444400002
2078067,12065,NULL,380,"2014-09-12 11:19:49",NULL,NULL,1,21,12065,...,DB,40.5966666667,23.967777777800002
2078067,34956,NULL,380,"2014-09-12 11:26:46",NULL,NULL,1,22,34956,...,DB,41.402777777800004,23.4555555556
2078067,33245,NULL,380,"2014-09-12 11:33:43",NULL,NULL,1,23,33245,...,DB,42.2947222222,23.4102777778
