trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2073145,7017,NULL,0,"2014-09-12 10:20:00",NULL,NULL,1,1,7017,...,A,50.0333333333,8.570555555599999
2073145,93187,NULL,10,"2014-09-12 10:20:15",NULL,NULL,1,2,93187,...,GEO,50.02527777777778,8.564166666666667
2073145,75348,NULL,50,"2014-09-12 10:21:46",NULL,NULL,1,3,75348,...,GEO,49.96111111111111,8.513055555555555
2073145,107154,NULL,90,"2014-09-12 10:23:00",NULL,NULL,1,4,107154,...,GEO,49.880833333333335,8.448888888888888
2073145,111881,NULL,100,"2014-09-12 10:23:21",NULL,NULL,1,5,111881,...,GEO,49.84861111111111,8.423333333333334
2073145,17904,NULL,100,"2014-09-12 10:24:31",NULL,NULL,1,6,17904,...,DB,49.7683333333,8.359444444400001
2073145,93193,NULL,130,"2014-09-12 10:25:36",NULL,NULL,1,7,93193,...,GEO,49.79361111111111,8.200833333333334
2073145,29572,NULL,158,"2014-09-12 10:26:45",NULL,NULL,1,8,29572,...,DB,49.821111111099995,8.0291666667
2073145,133681,NULL,170,"2014-09-12 10:27:17",NULL,NULL,1,9,133681,...,GEO,49.83444444444444,7.9447222222222225
2073145,9020,NULL,190,"2014-09-12 10:28:15",NULL,NULL,1,10,9020,...,DB,49.8608333333,7.7755555556
2073145,27950,NULL,198,"2014-09-12 10:28:39",NULL,NULL,1,11,27950,...,DB,49.869722222200004,7.7194444444000005
2073145,121619,NULL,220,"2014-09-12 10:29:50",NULL,NULL,1,12,121619,...,GEO,49.90111111111111,7.512222222222222
2073145,14466,NULL,220,"2014-09-12 10:33:11",NULL,NULL,1,13,14466,...,DB,49.9933333333,6.9044444444
2073145,20859,NULL,220,"2014-09-12 10:35:06",NULL,NULL,1,14,20859,...,DB,49.983055555600004,6.5616666667
2073145,19961,NULL,220,"2014-09-12 10:36:46",NULL,NULL,1,15,19961,...,DB,49.9027777778,6.2761111111000005
2073145,33587,NULL,220,"2014-09-12 10:37:00",NULL,NULL,1,16,33587,...,DB,49.8927777778,6.2430555556
2073145,12169,NULL,220,"2014-09-12 10:37:46",NULL,NULL,1,17,12169,...,DB,49.8613888889,6.1297222222
2073145,9438,NULL,220,"2014-09-12 10:39:45",NULL,NULL,1,18,9438,...,DB,49.7416666667,5.8697222222
2073145,12669,NULL,220,"2014-09-12 10:43:00",NULL,NULL,1,19,12669,...,DB,49.625277777799994,5.3716666666999995
2073145,61022,NULL,210,"2014-09-12 10:43:25",NULL,NULL,1,20,61022,...,GEO,49.611111111111114,5.305555555555555
2073145,26450,NULL,210,"2014-09-12 10:44:01",NULL,NULL,1,21,26450,...,DB,49.591388888900006,5.2130555556000004
2073145,56740,NULL,220,"2014-09-12 10:44:40",NULL,NULL,1,22,56740,...,GEO,49.59222222222222,5.101666666666667
2073145,27226,NULL,220,"2014-09-12 10:46:31",NULL,NULL,1,23,27226,...,DB,49.594722222200005,4.7813888889
2073145,23940,NULL,220,"2014-09-12 10:50:36",NULL,NULL,1,24,23940,...,DB,49.5966666667,4.0672222222
2073145,208401,NULL,220,"2014-09-12 10:51:19",NULL,NULL,1,25,208401,...,GEO,49.55277777777778,3.9630555555555556
2073145,25667,NULL,188,"2014-09-12 10:52:38",NULL,NULL,1,26,25667,...,DB,49.4747222222,3.7780555556
2073145,256560,NULL,170,"2014-09-12 10:53:23",NULL,NULL,1,27,256560,...,GEO,49.45472222222222,3.658611111111111
2073145,10281,NULL,165,"2014-09-12 10:53:35",NULL,NULL,1,28,10281,...,DB,49.4502777778,3.6322222222000002
2073145,43897,NULL,160,"2014-09-12 10:53:47",NULL,NULL,1,29,43897,...,GEO,49.44555555555556,3.6044444444444443
2073145,373740,NULL,160,"2014-09-12 10:54:36",NULL,NULL,1,30,373740,...,GEO,49.424166666666665,3.4791666666666665
2073145,12562,NULL,155,"2014-09-12 10:54:47",NULL,NULL,1,31,12562,...,DB,49.41944444439999,3.4513888889
2073145,50505,NULL,150,"2014-09-12 10:54:58",NULL,NULL,1,32,50505,...,GEO,49.4125,3.4258333333333333
2073145,1051719,NULL,150,"2014-09-12 10:59:49",NULL,NULL,1,33,1051719,...,GEO,49.22611111111111,2.738888888888889
2073145,31190,NULL,122,"2014-09-12 11:01:05",NULL,NULL,1,34,31190,...,DB,49.181111111099995,2.5736111111
2073145,1292474,NULL,110,"2014-09-12 11:01:37",NULL,NULL,1,35,1292474,...,GEO,49.17944444444444,2.4922222222222223
2073145,18336,NULL,90,"2014-09-12 11:02:33",NULL,NULL,1,36,18336,...,DB,49.1766666667,2.3702777778
2073145,22905,NULL,50,"2014-09-12 11:05:21",NULL,NULL,1,37,22905,...,DB,49.0158333333,2.1441666667
2073145,86572,NULL,20,"2014-09-12 11:08:35",NULL,NULL,1,38,86572,...,GEO,49.01166666666666,2.4266666666666667
2073145,86573,NULL,15,"2014-09-12 11:09:20",NULL,NULL,1,39,86573,...,GEO,49.01083333333333,2.4669444444444446
2073145,86574,NULL,10,"2014-09-12 11:10:04",NULL,NULL,1,40,86574,...,GEO,49.010555555555555,2.493888888888889
2073145,63638,NULL,5,"2014-09-12 11:10:51",NULL,NULL,1,41,63638,...,GEO,49.01,2.5344444444444445
2073145,1351,NULL,0,"2014-09-12 11:11:01",NULL,NULL,1,42,1351,...,A,49.009722222200004,2.5477777778
