trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2082015,4790,NULL,0,"2014-09-12 18:25:00",NULL,NULL,1,1,4790,...,A,47.439444444399996,19.2619444444
2082015,1301059,NULL,15,"2014-09-12 18:25:33",NULL,NULL,1,2,1301059,...,GEO,47.42611111111111,19.281666666666666
2082015,181714,NULL,20,"2014-09-12 18:25:49",NULL,NULL,1,3,181714,...,GEO,47.41277777777778,19.301666666666666
2082015,181715,NULL,35,"2014-09-12 18:26:33",NULL,NULL,1,4,181715,...,GEO,47.393055555555556,19.33111111111111
2082015,28624,NULL,50,"2014-09-12 18:27:09",NULL,NULL,1,5,28624,...,DB,47.366388888900005,19.3708333333
2082015,31469,NULL,93,"2014-09-12 18:28:48",NULL,NULL,1,6,31469,...,DB,47.317777777799996,19.2138888889
2082015,1301061,NULL,130,"2014-09-12 18:30:17",NULL,NULL,1,7,1301061,...,GEO,47.34916666666667,19.034444444444443
2082015,1301062,NULL,160,"2014-09-12 18:31:39",NULL,NULL,1,8,1301062,...,GEO,47.38055555555555,18.85472222222222
2082015,18517,NULL,160,"2014-09-12 18:32:18",NULL,NULL,1,9,18517,...,DB,47.396388888900006,18.765
2082015,18317,NULL,160,"2014-09-12 18:35:56",NULL,NULL,1,10,18317,...,DB,47.4833333333,18.2588888889
2082015,1309809,NULL,190,"2014-09-12 18:37:31",NULL,NULL,1,11,1309809,...,GEO,47.495,18.0475
2082015,1309810,NULL,210,"2014-09-12 18:38:42",NULL,NULL,1,12,1309810,...,GEO,47.50472222222222,17.875833333333333
2082015,1309811,NULL,230,"2014-09-12 18:40:01",NULL,NULL,1,13,1309811,...,GEO,47.51583333333333,17.677777777777777
2082015,1309812,NULL,270,"2014-09-12 18:43:13",NULL,NULL,1,14,1309812,...,GEO,47.54361111111111,17.176111111111112
2082015,27379,NULL,299,"2014-09-12 18:45:53",NULL,NULL,1,15,27379,...,DB,47.5672222222,16.7536111111
2082015,225324,NULL,320,"2014-09-12 18:47:43",NULL,NULL,1,16,225324,...,GEO,47.63722222222222,16.477777777777778
2082015,631547,NULL,340,"2014-09-12 18:49:49",NULL,NULL,1,17,631547,...,GEO,47.71361111111111,16.176666666666666
2082015,35227,NULL,340,"2014-09-12 18:57:55",NULL,NULL,1,18,35227,...,DB,48.0541666667,14.8347222222
2082015,221365,NULL,340,"2014-09-12 19:00:11",NULL,NULL,1,19,221365,...,GEO,48.05694444444445,14.426111111111112
2082015,29221,NULL,318,"2014-09-12 19:01:03",NULL,NULL,1,20,29221,...,DB,48.0577777778,14.2897222222
2082015,141258,NULL,300,"2014-09-12 19:01:44",NULL,NULL,1,21,141258,...,GEO,48.05777777777778,14.169444444444444
2082015,494663,NULL,285,"2014-09-12 19:02:17",NULL,NULL,1,22,494663,...,GEO,48.058055555555555,14.089166666666667
2082015,396896,NULL,250,"2014-09-12 19:04:00",NULL,NULL,1,23,396896,...,GEO,48.05833333333333,13.80861111111111
2082015,14748,NULL,214,"2014-09-12 19:05:49",NULL,NULL,1,24,14748,...,DB,48.0586111111,13.5413888889
2082015,14687,NULL,130,"2014-09-12 19:10:01",NULL,NULL,1,25,14687,...,DB,48.091388888900006,12.9138888889
2082015,83241,NULL,120,"2014-09-12 19:10:32",NULL,NULL,1,26,83241,...,GEO,48.0975,12.847777777777777
2082015,82041,NULL,120,"2014-09-12 19:14:39",NULL,NULL,1,27,82041,...,GEO,48.14055555555556,12.385277777777778
2082015,12767,NULL,115,"2014-09-12 19:14:58",NULL,NULL,1,28,12767,...,DB,48.1441666667,12.345555555599999
2082015,59107,NULL,110,"2014-09-12 19:15:17",NULL,NULL,1,29,59107,...,GEO,48.14694444444444,12.304722222222223
2082015,23467,NULL,110,"2014-09-12 19:19:44",NULL,NULL,1,30,23467,...,DB,48.1802777778,11.8161111111
2082015,60422,NULL,110,"2014-09-12 19:22:13",NULL,NULL,1,31,60422,...,GEO,48.227222222222224,11.808055555555555
2082015,60423,NULL,90,"2014-09-12 19:23:22",NULL,NULL,1,32,60423,...,GEO,48.25055555555556,11.803888888888888
2082015,60424,NULL,70,"2014-09-12 19:24:51",NULL,NULL,1,33,60424,...,GEO,48.278888888888886,11.799166666666666
2082015,60425,NULL,50,"2014-09-12 19:26:22",NULL,NULL,1,34,60425,...,GEO,48.304722222222225,11.794722222222223
2082015,44408,NULL,25,"2014-09-12 19:28:42",NULL,NULL,1,35,44408,...,GEO,48.33972222222222,11.788611111111111
2082015,4457,NULL,0,"2014-09-12 19:29:57",NULL,NULL,1,36,4457,...,A,48.3538888889,11.786111111099999
