trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2081688,1505,NULL,0,"2014-09-12 08:45:00",NULL,NULL,1,1,1505,...,A,53.3538888889,-2.275
2081688,70797,NULL,10,"2014-09-12 08:45:20",NULL,NULL,1,2,70797,...,GEO,53.36555555555555,-2.2958333333333334
2081688,92956,NULL,25,"2014-09-12 08:46:06",NULL,NULL,1,3,92956,...,GEO,53.38333333333333,-2.3272222222222223
2081688,237692,NULL,50,"2014-09-12 08:47:06",NULL,NULL,1,4,237692,...,GEO,53.42472222222222,-2.4
2081688,31739,NULL,50,"2014-09-12 08:48:06",NULL,NULL,1,5,31739,...,DB,53.4658333333,-2.4730555556000002
2081688,24823,NULL,50,"2014-09-12 08:50:23",NULL,NULL,1,6,24823,...,DB,53.485,-2.2244444444
2081688,30108,NULL,50,"2014-09-12 08:53:40",NULL,NULL,1,7,30108,...,DB,53.5272222222,-1.8927777778000001
2081688,70801,NULL,90,"2014-09-12 08:54:20",NULL,NULL,1,8,70801,...,GEO,53.51111111111111,-1.8019444444444443
2081688,121214,NULL,150,"2014-09-12 08:55:26",NULL,NULL,1,9,121214,...,GEO,53.479166666666664,-1.6202777777777777
2081688,22064,NULL,157,"2014-09-12 08:55:35",NULL,NULL,1,10,22064,...,DB,53.47388888890001,-1.59
2081688,1569083,NULL,170,"2014-09-12 08:55:52",NULL,NULL,1,11,1569083,...,GEO,53.466388888888886,-1.5477777777777777
2081688,175692,NULL,210,"2014-09-12 08:56:48",NULL,NULL,1,12,175692,...,GEO,53.435833333333335,-1.378611111111111
2081688,20521,NULL,230,"2014-09-12 08:57:20",NULL,NULL,1,13,20521,...,DB,53.418055555600006,-1.28
2081688,107487,NULL,250,"2014-09-12 08:58:24",NULL,NULL,1,14,107487,...,GEO,53.375,-1.0466666666666666
2081688,29255,NULL,275,"2014-09-12 09:00:01",NULL,NULL,1,15,29255,...,DB,53.308055555600006,-0.6822222222
2081688,233259,NULL,300,"2014-09-12 09:01:50",NULL,NULL,1,16,233259,...,GEO,53.227222222222224,-0.25805555555555554
2081688,34381,NULL,316,"2014-09-12 09:02:50",NULL,NULL,1,17,34381,...,DB,53.1841666667,-0.0319444444
2081688,129784,NULL,340,"2014-09-12 09:04:26",NULL,NULL,1,18,129784,...,GEO,53.11,0.3411111111111111
2081688,723703,NULL,360,"2014-09-12 09:06:03",NULL,NULL,1,19,723703,...,GEO,53.035833333333336,0.7138888888888889
2081688,26737,NULL,371,"2014-09-12 09:07:18",NULL,NULL,1,20,26737,...,DB,52.978611111099994,1.0008333333
2081688,173009,NULL,380,"2014-09-12 09:08:18",NULL,NULL,1,21,173009,...,GEO,52.95055555555555,1.2330555555555556
2081688,182938,NULL,390,"2014-09-12 09:09:52",NULL,NULL,1,22,182938,...,GEO,52.905,1.6108333333333333
2081688,15761,NULL,390,"2014-09-12 09:13:41",NULL,NULL,1,23,15761,...,DB,52.8013888889,2.4675
2081688,18466,NULL,390,"2014-09-12 09:13:48",NULL,NULL,1,24,18466,...,DB,52.797222222200006,2.5
2081688,35778,NULL,390,"2014-09-12 09:15:06",NULL,NULL,1,25,35778,...,DB,52.7583333333,2.8005555556
2081688,13026,NULL,390,"2014-09-12 09:16:00",NULL,NULL,1,26,13026,...,DB,52.732777777799996,2.9944444444
2081688,135734,NULL,390,"2014-09-12 09:35:00",NULL,NULL,1,27,135734,...,GEO,52.135555555555555,6.873333333333333
2081688,18990,NULL,390,"2014-09-12 09:52:56",NULL,NULL,1,28,18990,...,DB,51.4477777778,10.501944444400001
2081688,18965,NULL,390,"2014-09-12 09:55:15",NULL,NULL,1,29,18965,...,DB,51.379444444399994,10.9316666667
2081688,22009,NULL,390,"2014-09-12 09:57:12",NULL,NULL,1,30,22009,...,DB,51.3238888889,11.2722222222
2081688,9628,NULL,390,"2014-09-12 09:58:13",NULL,NULL,1,31,9628,...,DB,51.2927777778,11.4613888889
2081688,31705,NULL,390,"2014-09-12 09:58:46",NULL,NULL,1,32,31705,...,DB,51.2772222222,11.5530555556
2081688,22707,NULL,390,"2014-09-12 10:00:56",NULL,NULL,1,33,22707,...,DB,51.2105555556,11.9466666667
2081688,13719,NULL,390,"2014-09-12 10:02:34",NULL,NULL,1,34,13719,...,DB,51.16194444439999,12.23
2081688,17371,NULL,390,"2014-09-12 10:04:45",NULL,NULL,1,35,17371,...,DB,51.092777777799995,12.6197222222
2081688,24535,NULL,390,"2014-09-12 10:08:43",NULL,NULL,1,36,24535,...,DB,50.964444444399994,13.321388888900001
2081688,16077,NULL,390,"2014-09-12 10:09:39",NULL,NULL,1,37,16077,...,DB,50.935277777799996,13.4852777778
2081688,25949,NULL,390,"2014-09-12 10:12:37",NULL,NULL,1,38,25949,...,DB,50.8377777778,14.0008333333
2081688,18553,NULL,390,"2014-09-12 10:16:28",NULL,NULL,1,39,18553,...,DB,50.562222222200006,14.5816666667
2081688,16421,NULL,390,"2014-09-12 10:20:50",NULL,NULL,1,40,16421,...,DB,50.1883333333,15.158055555599999
2081688,11094,NULL,401,"2014-09-12 10:23:08",NULL,NULL,1,41,11094,...,DB,50.054722222200006,15.538333333299999
2081688,2596352,NULL,410,"2014-09-12 10:26:07",NULL,NULL,1,42,2596352,...,GEO,49.87611111111111,16.023611111111112
2081688,33235,NULL,410,"2014-09-12 10:34:41",NULL,NULL,1,43,33235,...,DB,49.3227777778,17.5283333333
2081688,34940,NULL,410,"2014-09-12 10:38:00",NULL,NULL,1,44,34940,...,DB,49.127222222200004,18.1108333333
2081688,23297,NULL,410,"2014-09-12 10:42:19",NULL,NULL,1,45,23297,...,DB,48.8858333333,18.8119444444
2081688,22594,NULL,410,"2014-09-12 10:52:00",NULL,NULL,1,46,22594,...,DB,48.3247222222,20.3716666667
2081688,33098,NULL,410,"2014-09-12 10:54:21",NULL,NULL,1,47,33098,...,DB,48.1644444444,20.7516666667
2081688,34959,NULL,410,"2014-09-12 10:59:56",NULL,NULL,1,48,34959,...,DB,47.7883333333,21.622777777800003
2081688,13844,NULL,410,"2014-09-12 11:03:00",NULL,NULL,1,49,13844,...,DB,47.5736111111,22.1080555556
2081688,20547,NULL,410,"2014-09-12 11:06:08",NULL,NULL,1,50,20547,...,DB,47.3288888889,22.6102777778
2081688,11649,NULL,410,"2014-09-12 11:13:24",NULL,NULL,1,51,11649,...,DB,46.76,23.744722222199997
2081688,9526,NULL,410,"2014-09-12 11:17:08",NULL,NULL,1,52,9526,...,DB,46.446944444399996,24.3066666667
2081688,31535,NULL,410,"2014-09-12 11:31:40",NULL,NULL,1,53,31535,...,DB,45.2927777778,26.5091666667
2081688,23804,NULL,410,"2014-09-12 11:39:25",NULL,NULL,1,54,23804,...,DB,44.6558333333,27.654722222199997
2081688,31699,NULL,410,"2014-09-12 11:49:00",NULL,NULL,1,55,31699,...,DB,43.7,28.8083333333
2081688,35674,NULL,410,"2014-09-12 12:01:00",NULL,NULL,1,56,35674,...,DB,42.6105555556,30.264444444400002
2081688,64457,NULL,410,"2014-09-12 12:05:00",NULL,NULL,1,57,64457,...,GEO,42.291111111111114,31.00111111111111
2081688,34299,NULL,410,"2014-09-12 12:10:44",NULL,NULL,1,58,34299,...,DB,41.8802777778,31.9480555556
