trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2085355,5313,NULL,0,"2014-09-12 14:56:00",NULL,NULL,1,1,5313,...,A,28.9455555556,-13.6052777778
2085355,275570,NULL,25,"2014-09-12 14:57:08",NULL,NULL,1,2,275570,...,GEO,28.97111111111111,-13.570277777777777
2085355,275571,NULL,35,"2014-09-12 14:57:32",NULL,NULL,1,3,275571,...,GEO,28.98638888888889,-13.549444444444445
2085355,10965,NULL,49,"2014-09-12 14:58:01",NULL,NULL,1,4,10965,...,DB,29.0016666667,-13.528333333299999
2085355,275572,NULL,90,"2014-09-12 14:59:25",NULL,NULL,1,5,275572,...,GEO,29.07,-13.435
2085355,18885,NULL,98,"2014-09-12 14:59:42",NULL,NULL,1,6,18885,...,DB,29.087222222199998,-13.4116666667
2085355,24603,NULL,186,"2014-09-12 15:03:33",NULL,NULL,1,7,24603,...,DB,29.411111111100002,-13.1244444444
2085355,275573,NULL,210,"2014-09-12 15:04:53",NULL,NULL,1,8,275573,...,GEO,29.496111111111112,-12.979444444444445
2085355,275574,NULL,230,"2014-09-12 15:06:11",NULL,NULL,1,9,275574,...,GEO,29.58138888888889,-12.834444444444445
2085355,279057,NULL,250,"2014-09-12 15:07:41",NULL,NULL,1,10,279057,...,GEO,29.68138888888889,-12.663611111111111
2085355,27583,NULL,258,"2014-09-12 15:08:23",NULL,NULL,1,11,27583,...,DB,29.7313888889,-12.5783333333
2085355,1304499,NULL,270,"2014-09-12 15:09:27",NULL,NULL,1,12,1304499,...,GEO,29.807222222222222,-12.45111111111111
2085355,2251089,NULL,300,"2014-09-12 15:11:40",NULL,NULL,1,13,2251089,...,GEO,29.97388888888889,-12.171388888888888
2085355,13946,NULL,306,"2014-09-12 15:12:14",NULL,NULL,1,14,13946,...,DB,30.014444444400002,-12.1036111111
2085355,96984,NULL,340,"2014-09-12 15:15:29",NULL,NULL,1,15,96984,...,GEO,30.244722222222222,-11.702222222222222
2085355,96985,NULL,360,"2014-09-12 15:17:43",NULL,NULL,1,16,96985,...,GEO,30.415,-11.405555555555555
2085355,29063,NULL,360,"2014-09-12 15:30:41",NULL,NULL,1,17,29063,...,DB,31.4011111111,-9.6869444444
2085355,10058,NULL,360,"2014-09-12 15:46:10",NULL,NULL,1,18,10058,...,DB,33.1947222222,-8.366666666699999
2085355,33038,NULL,360,"2014-09-12 16:04:52",NULL,NULL,1,19,33038,...,DB,35.3458333333,-6.7011111111
2085355,8964,NULL,369,"2014-09-12 16:06:16",NULL,NULL,1,20,8964,...,DB,35.4452777778,-6.4925
2085355,2876798,NULL,380,"2014-09-12 16:08:07",NULL,NULL,1,21,2876798,...,GEO,35.57138888888889,-6.225
2085355,27640,NULL,380,"2014-09-12 16:10:28",NULL,NULL,1,22,27640,...,DB,35.7288888889,-5.890833333300001
2085355,25632,NULL,380,"2014-09-12 16:12:05",NULL,NULL,1,23,25632,...,DB,35.8333333333,-5.666666666699999
2085355,19226,NULL,380,"2014-09-12 16:14:55",NULL,NULL,1,24,19226,...,DB,36.0041666667,-5.2430555556
2085355,31658,NULL,380,"2014-09-12 16:17:20",NULL,NULL,1,25,31658,...,DB,36.1502777778,-4.8933333333
2085355,26846,NULL,380,"2014-09-12 16:23:31",NULL,NULL,1,26,26846,...,DB,36.72,-4.1341666667000005
2085355,20227,NULL,380,"2014-09-12 16:28:14",NULL,NULL,1,27,20227,...,DB,37.159722222199996,-3.5708333333
2085355,23128,NULL,380,"2014-09-12 16:32:44",NULL,NULL,1,28,23128,...,DB,37.5797222222,-3.0241666667000002
2085355,8658,NULL,380,"2014-09-12 16:34:37",NULL,NULL,1,29,8658,...,DB,37.754722222199995,-2.7936111111
2085355,20081,NULL,380,"2014-09-12 16:37:03",NULL,NULL,1,30,20081,...,DB,37.9725,-2.5044444444
2085355,27127,NULL,380,"2014-09-12 16:39:36",NULL,NULL,1,31,27127,...,DB,38.2080555556,-2.1886111111
2085355,31309,NULL,380,"2014-09-12 16:41:29",NULL,NULL,1,32,31309,...,DB,38.3641666667,-1.9361111111000002
2085355,17535,NULL,380,"2014-09-12 16:45:51",NULL,NULL,1,33,17535,...,DB,38.7269444444,-1.3422222222
2085355,19129,NULL,380,"2014-09-12 16:50:02",NULL,NULL,1,34,19129,...,DB,39.0691666667,-0.7719444444
2085355,10015,NULL,380,"2014-09-12 16:53:36",NULL,NULL,1,35,10015,...,DB,39.4855555556,-0.4830555556
2085355,13077,NULL,380,"2014-09-12 16:57:22",NULL,NULL,1,36,13077,...,DB,39.8338888889,-0.0047222222
2085355,73924,NULL,380,"2014-09-12 16:58:10",NULL,NULL,1,37,73924,...,GEO,39.9375,0.03388888888888889
2085355,147022,NULL,360,"2014-09-12 16:58:54",NULL,NULL,1,38,147022,...,GEO,40.02361111111111,0.06583333333333333
2085355,34502,NULL,305,"2014-09-12 17:00:35",NULL,NULL,1,39,34502,...,DB,40.2308333333,0.1430555556
2085355,73925,NULL,300,"2014-09-12 17:00:43",NULL,NULL,1,40,73925,...,GEO,40.24805555555555,0.14944444444444444
2085355,144114,NULL,300,"2014-09-12 17:01:21",NULL,NULL,1,41,144114,...,GEO,40.32527777777778,0.1786111111111111
2085355,24564,NULL,250,"2014-09-12 17:03:17",NULL,NULL,1,42,24564,...,DB,40.5566666667,0.2655555556
2085355,144115,NULL,250,"2014-09-12 17:05:47",NULL,NULL,1,43,144115,...,GEO,40.65111111111111,0.6752777777777778
2085355,144116,NULL,230,"2014-09-12 17:06:35",NULL,NULL,1,44,144116,...,GEO,40.680277777777775,0.8005555555555556
2085355,144117,NULL,210,"2014-09-12 17:07:25",NULL,NULL,1,45,144117,...,GEO,40.70638888888889,0.9144444444444444
2085355,144118,NULL,190,"2014-09-12 17:08:16",NULL,NULL,1,46,144118,...,GEO,40.735277777777775,1.0394444444444444
2085355,144119,NULL,150,"2014-09-12 17:10:01",NULL,NULL,1,47,144119,...,GEO,40.78777777777778,1.2672222222222222
2085355,144120,NULL,130,"2014-09-12 17:10:56",NULL,NULL,1,48,144120,...,GEO,40.81666666666667,1.3925
2085355,147032,NULL,90,"2014-09-12 17:12:50",NULL,NULL,1,49,147032,...,GEO,40.86944444444445,1.62
2085355,18828,NULL,89,"2014-09-12 17:12:54",NULL,NULL,1,50,18828,...,DB,40.8719444444,1.6313888889
2085355,25011,NULL,69,"2014-09-12 17:14:27",NULL,NULL,1,51,25011,...,DB,40.9738888889,1.7058333333000002
2085355,143628,NULL,50,"2014-09-12 17:15:55",NULL,NULL,1,52,143628,...,GEO,41.08305555555555,1.7597222222222222
2085355,30873,NULL,30,"2014-09-12 17:18:03",NULL,NULL,1,53,30873,...,DB,41.2088888889,1.8219444444
2085355,45542,NULL,30,"2014-09-12 17:18:45",NULL,NULL,1,54,45542,...,GEO,41.227222222222224,1.8752777777777778
2085355,45543,NULL,25,"2014-09-12 17:19:17",NULL,NULL,1,55,45543,...,GEO,41.24194444444444,1.9180555555555556
2085355,4900,NULL,0,"2014-09-12 17:22:25",NULL,NULL,1,56,4900,...,A,41.2969444444,2.0783333333000003
