trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2089951,4915,NULL,0,"2014-09-12 20:00:00",NULL,NULL,1,1,4915,...,A,51.874722222200006,-0.3683333333
2089951,116381,NULL,20,"2014-09-12 20:00:42",NULL,NULL,1,2,116381,...,GEO,51.852777777777774,-0.4013888888888889
2089951,42635,NULL,25,"2014-09-12 20:00:56",NULL,NULL,1,3,42635,...,GEO,51.838055555555556,-0.42333333333333334
2089951,10976,NULL,35,"2014-09-12 20:01:19",NULL,NULL,1,4,10976,...,DB,51.8233333333,-0.4452777778
2089951,116382,NULL,40,"2014-09-12 20:01:31",NULL,NULL,1,5,116382,...,GEO,51.818888888888885,-0.43416666666666665
2089951,21179,NULL,40,"2014-09-12 20:02:21",NULL,NULL,1,6,21179,...,DB,51.7925,-0.36694444439999996
2089951,72185,NULL,50,"2014-09-12 20:02:38",NULL,NULL,1,7,72185,...,GEO,51.7875,-0.3372222222222222
2089951,18610,NULL,50,"2014-09-12 20:03:20",NULL,NULL,1,8,18610,...,DB,51.7752777778,-0.2627777778
2089951,72186,NULL,50,"2014-09-12 20:04:01",NULL,NULL,1,9,72186,...,GEO,51.764722222222225,-0.19777777777777777
2089951,33671,NULL,55,"2014-09-12 20:04:08",NULL,NULL,1,10,33671,...,DB,51.7625,-0.18472222219999998
2089951,29832,NULL,73,"2014-09-12 20:04:44",NULL,NULL,1,11,29832,...,DB,51.749722222200006,-0.1066666667
2089951,119112,NULL,90,"2014-09-12 20:05:18",NULL,NULL,1,12,119112,...,GEO,51.76027777777778,-0.03666666666666667
2089951,13251,NULL,110,"2014-09-12 20:06:01",NULL,NULL,1,13,13251,...,DB,51.7775,0.0752777778
2089951,119113,NULL,170,"2014-09-12 20:08:36",NULL,NULL,1,14,119113,...,GEO,51.80277777777778,0.5075
2089951,119114,NULL,171,"2014-09-12 20:08:39",NULL,NULL,1,15,119114,...,GEO,51.80361111111111,0.5219444444444444
2089951,12660,NULL,185,"2014-09-12 20:09:23",NULL,NULL,1,16,12660,...,DB,51.8111111111,0.6516666667000001
2089951,31575,NULL,229,"2014-09-12 20:12:00",NULL,NULL,1,17,31575,...,DB,51.8486111111,1.1475
2089951,32354,NULL,249,"2014-09-12 20:13:28",NULL,NULL,1,18,32354,...,DB,51.905277777799995,1.4258333333000002
2089951,119115,NULL,270,"2014-09-12 20:15:18",NULL,NULL,1,19,119115,...,GEO,51.97611111111111,1.7844444444444445
2089951,119116,NULL,300,"2014-09-12 20:17:41",NULL,NULL,1,20,119116,...,GEO,52.06583333333333,2.2397222222222224
2089951,32922,NULL,314,"2014-09-12 20:18:56",NULL,NULL,1,21,32922,...,DB,52.1147222222,2.4880555556
2089951,119117,NULL,340,"2014-09-12 20:21:29",NULL,NULL,1,22,119117,...,GEO,52.20861111111111,2.996111111111111
2089951,119118,NULL,360,"2014-09-12 20:23:56",NULL,NULL,1,23,119118,...,GEO,52.297222222222224,3.476111111111111
2089951,28953,NULL,370,"2014-09-12 20:25:54",NULL,NULL,1,24,28953,...,DB,52.3677777778,3.8572222222000003
2089951,18990,NULL,370,"2014-09-12 20:59:50",NULL,NULL,1,25,18990,...,DB,51.4477777778,10.501944444400001
2089951,18965,NULL,370,"2014-09-12 21:02:01",NULL,NULL,1,26,18965,...,DB,51.379444444399994,10.9316666667
2089951,22009,NULL,370,"2014-09-12 21:03:50",NULL,NULL,1,27,22009,...,DB,51.3238888889,11.2722222222
2089951,9628,NULL,370,"2014-09-12 21:04:46",NULL,NULL,1,28,9628,...,DB,51.2927777778,11.4613888889
2089951,31705,NULL,370,"2014-09-12 21:05:17",NULL,NULL,1,29,31705,...,DB,51.2772222222,11.5530555556
2089951,22707,NULL,370,"2014-09-12 21:07:19",NULL,NULL,1,30,22707,...,DB,51.2105555556,11.9466666667
2089951,1315731,NULL,370,"2014-09-12 21:08:07",NULL,NULL,1,31,1315731,...,GEO,51.185,12.095
2089951,13719,NULL,350,"2014-09-12 21:08:49",NULL,NULL,1,32,13719,...,DB,51.16194444439999,12.23
2089951,17371,NULL,350,"2014-09-12 21:10:55",NULL,NULL,1,33,17371,...,DB,51.092777777799995,12.6197222222
2089951,1779068,NULL,350,"2014-09-12 21:11:13",NULL,NULL,1,34,1779068,...,GEO,51.08277777777778,12.674722222222222
2089951,277554,NULL,340,"2014-09-12 21:11:32",NULL,NULL,1,35,277554,...,GEO,51.07,12.743611111111111
2089951,162300,NULL,320,"2014-09-12 21:12:09",NULL,NULL,1,36,162300,...,GEO,51.05,12.85361111111111
2089951,989145,NULL,300,"2014-09-12 21:12:43",NULL,NULL,1,37,989145,...,GEO,51.02722222222222,12.9775
2089951,24535,NULL,253,"2014-09-12 21:14:33",NULL,NULL,1,38,24535,...,DB,50.964444444399994,13.321388888900001
2089951,989149,NULL,250,"2014-09-12 21:14:40",NULL,NULL,1,39,989149,...,GEO,50.959722222222226,13.348611111111111
2089951,16077,NULL,230,"2014-09-12 21:15:27",NULL,NULL,1,40,16077,...,DB,50.935277777799996,13.4852777778
2089951,27399,NULL,230,"2014-09-12 21:16:52",NULL,NULL,1,41,27399,...,DB,50.8933333333,13.709166666700002
2089951,18350,NULL,230,"2014-09-12 21:18:17",NULL,NULL,1,42,18350,...,DB,50.8044444444,13.8802777778
2089951,1353096,NULL,230,"2014-09-12 21:21:12",NULL,NULL,1,43,1353096,...,GEO,50.66027777777778,14.286666666666667
2089951,15401,NULL,197,"2014-09-12 21:22:40",NULL,NULL,1,44,15401,...,DB,50.5858333333,14.495833333299998
2089951,1286372,NULL,190,"2014-09-12 21:23:00",NULL,NULL,1,45,1286372,...,GEO,50.56333333333333,14.469444444444445
2089951,1286373,NULL,150,"2014-09-12 21:24:55",NULL,NULL,1,46,1286373,...,GEO,50.45027777777778,14.337222222222222
2089951,1286374,NULL,130,"2014-09-12 21:25:55",NULL,NULL,1,47,1286374,...,GEO,50.38805555555555,14.264444444444445
2089951,1286375,NULL,90,"2014-09-12 21:27:52",NULL,NULL,1,48,1286375,...,GEO,50.275,14.131944444444445
2089951,1286376,NULL,70,"2014-09-12 21:29:31",NULL,NULL,1,49,1286376,...,GEO,50.19583333333333,14.039444444444445
2089951,1286377,NULL,50,"2014-09-12 21:31:15",NULL,NULL,1,50,1286377,...,GEO,50.1225,13.953333333333333
2089951,28726,NULL,46,"2014-09-12 21:31:43",NULL,NULL,1,51,28726,...,DB,50.105555555600006,13.9336111111
2089951,1286378,NULL,35,"2014-09-12 21:32:57",NULL,NULL,1,52,1286378,...,GEO,50.10388888888889,14.0425
2089951,1286379,NULL,25,"2014-09-12 21:34:07",NULL,NULL,1,53,1286379,...,GEO,50.1025,14.151111111111112
2089951,533,NULL,0,"2014-09-12 21:35:53",NULL,NULL,1,54,533,...,A,50.1008333333,14.26
