trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2,1071,NULL,0,"2014-06-25 21:49:00",NULL,NULL,1,1,1071,...,A,52.308055555600006,4.7641666667
2,40985,NULL,20,"2014-06-25 21:49:57",NULL,NULL,1,2,40985,...,GEO,52.33722222222222,4.798611111111111
2,40986,NULL,25,"2014-06-25 21:50:11",NULL,NULL,1,3,40986,...,GEO,52.35194444444444,4.815555555555555
2,40987,NULL,50,"2014-06-25 21:51:07",NULL,NULL,1,4,40987,...,GEO,52.38861111111111,4.858611111111111
2,40988,NULL,90,"2014-06-25 21:52:28",NULL,NULL,1,5,40988,...,GEO,52.47611111111111,4.961666666666667
2,40989,NULL,140,"2014-06-25 21:54:28",NULL,NULL,1,6,40989,...,GEO,52.636944444444445,5.150277777777778
2,24008,NULL,140,"2014-06-25 21:55:40",NULL,NULL,1,7,24008,...,DB,52.73944444439999,5.2705555556
2,32536,NULL,155,"2014-06-25 21:56:22",NULL,NULL,1,8,32536,...,DB,52.7825,5.3613888889
2,40990,NULL,170,"2014-06-25 21:57:03",NULL,NULL,1,9,40990,...,GEO,52.826388888888886,5.455555555555556
2,40991,NULL,190,"2014-06-25 21:58:06",NULL,NULL,1,10,40991,...,GEO,52.8975,5.608333333333333
2,8764,NULL,236,"2014-06-25 22:01:01",NULL,NULL,1,11,8764,...,DB,53.105555555600006,6.055
2,40992,NULL,250,"2014-06-25 22:02:05",NULL,NULL,1,12,40992,...,GEO,53.18277777777778,6.225
2,12019,NULL,275,"2014-06-25 22:04:16",NULL,NULL,1,13,12019,...,DB,53.348055555600006,6.5888888889
2,40993,NULL,285,"2014-06-25 22:05:04",NULL,NULL,1,14,40993,...,GEO,53.41861111111111,6.697777777777778
2,21761,NULL,295,"2014-06-25 22:05:53",NULL,NULL,1,15,21761,...,DB,53.4958333333,6.8163888889
2,8449,NULL,304,"2014-06-25 22:06:36",NULL,NULL,1,16,8449,...,DB,53.562777777799994,6.92
2,40994,NULL,340,"2014-06-25 22:09:58",NULL,NULL,1,17,40994,...,GEO,53.88388888888889,7.431111111111111
2,40995,NULL,350,"2014-06-25 22:11:13",NULL,NULL,1,18,40995,...,GEO,53.995555555555555,7.608333333333333
2,31563,NULL,350,"2014-06-25 22:13:19",NULL,NULL,1,19,31563,...,DB,54.185555555600004,7.9108333333
2,26707,NULL,350,"2014-06-25 22:18:40",NULL,NULL,1,20,26707,...,DB,54.633611111099995,8.7575
2,29162,NULL,350,"2014-06-25 22:21:21",NULL,NULL,1,21,29162,...,DB,54.8586111111,9.1941666667
2,11589,NULL,350,"2014-06-25 22:24:24",NULL,NULL,1,22,11589,...,DB,55.10694444439999,9.6863888889
2,24986,NULL,350,"2014-06-25 22:36:51",NULL,NULL,1,23,24986,...,DB,55.0013888889,12.379166666700002
2,11833,NULL,350,"2014-06-25 22:38:44",NULL,NULL,1,24,11833,...,DB,55.0958333333,12.761388888900001
2,24089,NULL,350,"2014-06-25 22:40:06",NULL,NULL,1,25,24089,...,DB,55.162777777799995,13.036944444400001
2,28925,NULL,350,"2014-06-25 22:45:23",NULL,NULL,1,26,28925,...,DB,55.41194444439999,14.094166666700001
2,28695,NULL,350,"2014-06-25 22:58:34",NULL,NULL,1,27,28695,...,DB,56,16.8147222222
2,19102,NULL,350,"2014-06-25 23:05:26",NULL,NULL,1,28,19102,...,DB,56.2288888889,18.2855555556
2,12951,NULL,350,"2014-06-25 23:08:11",NULL,NULL,1,29,12951,...,DB,56.2977777778,18.8983333333
2,28508,NULL,350,"2014-06-25 23:14:12",NULL,NULL,1,30,28508,...,DB,56.435277777799996,20.2152777778
