trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
1780312,4667,NULL,0,"2014-09-09 05:07:00",NULL,NULL,1,1,4667,...,A,37.4666666667,15.063888888900001
1780312,106891,NULL,20,"2014-09-09 05:07:55",NULL,NULL,1,2,106891,...,GEO,37.4725,15.108888888888888
1780312,54046,NULL,25,"2014-09-09 05:08:08",NULL,NULL,1,3,54046,...,GEO,37.47555555555556,15.131388888888889
1780312,106892,NULL,50,"2014-09-09 05:09:04",NULL,NULL,1,4,106892,...,GEO,37.48305555555555,15.187777777777777
1780312,107823,NULL,70,"2014-09-09 05:09:42",NULL,NULL,1,5,107823,...,GEO,37.49194444444444,15.255277777777778
1780312,15884,NULL,81,"2014-09-09 05:10:05",NULL,NULL,1,6,15884,...,DB,37.4963888889,15.2891666667
1780312,34283,NULL,108,"2014-09-09 05:11:03",NULL,NULL,1,7,34283,...,DB,37.5508333333,15.3766666667
1780312,113322,NULL,150,"2014-09-09 05:12:44",NULL,NULL,1,8,113322,...,GEO,37.70944444444444,15.45861111111111
1780312,27273,NULL,151,"2014-09-09 05:12:46",NULL,NULL,1,9,27273,...,DB,37.7177777778,15.4627777778
1780312,28167,NULL,190,"2014-09-09 05:14:40",NULL,NULL,1,10,28167,...,DB,37.9116666667,15.3658333333
1780312,113323,NULL,230,"2014-09-09 05:17:05",NULL,NULL,1,11,113323,...,GEO,38.1775,15.231388888888889
1780312,113324,NULL,250,"2014-09-09 05:18:35",NULL,NULL,1,12,113324,...,GEO,38.34361111111111,15.147222222222222
1780312,13821,NULL,263,"2014-09-09 05:19:43",NULL,NULL,1,13,13821,...,DB,38.4763888889,15.08
1780312,113325,NULL,285,"2014-09-09 05:21:29",NULL,NULL,1,14,113325,...,GEO,38.68555555555555,14.971388888888889
1780312,113326,NULL,320,"2014-09-09 05:24:34",NULL,NULL,1,15,113326,...,GEO,39.04527777777778,14.785
1780312,113327,NULL,340,"2014-09-09 05:26:33",NULL,NULL,1,16,113327,...,GEO,39.27972222222222,14.663333333333334
1780312,11584,NULL,360,"2014-09-09 05:29:03",NULL,NULL,1,17,11584,...,DB,39.564166666700004,14.5158333333
1780312,10026,NULL,360,"2014-09-09 05:34:39",NULL,NULL,1,18,10026,...,DB,40.185,14.149166666700001
1780312,13459,NULL,360,"2014-09-09 05:35:55",NULL,NULL,1,19,13459,...,DB,40.2816666667,13.9941666667
1780312,16955,NULL,360,"2014-09-09 05:37:45",NULL,NULL,1,20,16955,...,DB,40.4225,13.7652777778
1780312,8607,NULL,360,"2014-09-09 05:39:10",NULL,NULL,1,21,8607,...,DB,40.5330555556,13.585
1780312,30123,NULL,360,"2014-09-09 05:41:27",NULL,NULL,1,22,30123,...,DB,40.7061111111,13.2997222222
1780312,23735,NULL,360,"2014-09-09 05:44:11",NULL,NULL,1,23,23735,...,DB,40.9119444444,12.9575
1780312,27347,NULL,360,"2014-09-09 05:47:52",NULL,NULL,1,24,27347,...,DB,41.2244444444,12.5322222222
1780312,9826,NULL,360,"2014-09-09 05:51:02",NULL,NULL,1,25,9826,...,DB,41.493888888899995,12.161388888900001
1780312,15001,NULL,360,"2014-09-09 05:53:28",NULL,NULL,1,26,15001,...,DB,41.7033333333,11.8705555556
1780312,34647,NULL,360,"2014-09-09 05:54:44",NULL,NULL,1,27,34647,...,DB,41.8047222222,11.7272222222
1780312,11585,NULL,360,"2014-09-09 05:57:41",NULL,NULL,1,28,11585,...,DB,42.0527777778,11.376388888900001
1780312,218132,NULL,360,"2014-09-09 06:00:29",NULL,NULL,1,29,218132,...,GEO,42.28666666666667,11.040833333333333
1780312,28209,NULL,331,"2014-09-09 06:01:24",NULL,NULL,1,30,28209,...,DB,42.3666666667,10.926111111099999
1780312,218133,NULL,300,"2014-09-09 06:02:20",NULL,NULL,1,31,218133,...,GEO,42.44694444444445,10.809166666666666
1780312,163515,NULL,285,"2014-09-09 06:02:54",NULL,NULL,1,32,163515,...,GEO,42.50222222222222,10.728333333333333
1780312,78395,NULL,270,"2014-09-09 06:03:29",NULL,NULL,1,33,78395,...,GEO,42.55166666666667,10.65638888888889
1780312,189328,NULL,250,"2014-09-09 06:04:17",NULL,NULL,1,34,189328,...,GEO,42.61333333333334,10.566666666666666
1780312,25677,NULL,215,"2014-09-09 06:05:41",NULL,NULL,1,35,25677,...,DB,42.7305555556,10.3958333333
1780312,218134,NULL,210,"2014-09-09 06:05:54",NULL,NULL,1,36,218134,...,GEO,42.75416666666667,10.378055555555555
1780312,100579,NULL,170,"2014-09-09 06:07:37",NULL,NULL,1,37,100579,...,GEO,42.910833333333336,10.259166666666667
1780312,107826,NULL,150,"2014-09-09 06:08:30",NULL,NULL,1,38,107826,...,GEO,42.996944444444445,10.19361111111111
1780312,218135,NULL,110,"2014-09-09 06:10:20",NULL,NULL,1,39,218135,...,GEO,43.15361111111111,10.074722222222222
1780312,218136,NULL,90,"2014-09-09 06:11:18",NULL,NULL,1,40,218136,...,GEO,43.23972222222222,10.009444444444444
1780312,33054,NULL,82,"2014-09-09 06:11:53",NULL,NULL,1,41,33054,...,DB,43.278888888900006,9.9797222222
1780312,218137,NULL,50,"2014-09-09 06:14:19",NULL,NULL,1,42,218137,...,GEO,43.43388888888889,10.138055555555555
1780312,13714,NULL,30,"2014-09-09 06:16:24",NULL,NULL,1,43,13714,...,DB,43.5447222222,10.2511111111
1780312,189528,NULL,25,"2014-09-09 06:16:56",NULL,NULL,1,44,189528,...,GEO,43.57388888888889,10.28138888888889
1780312,1888,NULL,0,"2014-09-09 06:20:01",NULL,NULL,1,45,1888,...,A,43.6827777778,10.3955555556
