trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
1808100,2849,NULL,0,"2014-09-09 04:10:00",NULL,NULL,1,1,2849,...,A,49.8097222222,23.9583333333
1808100,32591,NULL,10,"2014-09-09 04:10:19",NULL,NULL,1,2,32591,...,DB,49.8119444444,23.9513888889
1808100,4915180,NULL,25,"2014-09-09 04:11:00",NULL,NULL,1,3,4915180,...,GEO,49.81166666666667,23.993333333333332
1808100,1054191,NULL,35,"2014-09-09 04:11:24",NULL,NULL,1,4,1054191,...,GEO,49.81138888888889,24.03527777777778
1808100,5433206,NULL,50,"2014-09-09 04:11:57",NULL,NULL,1,5,5433206,...,GEO,49.81111111111111,24.077222222222222
1808100,2213066,NULL,90,"2014-09-09 04:13:24",NULL,NULL,1,6,2213066,...,GEO,49.81,24.245
1808100,7348905,NULL,170,"2014-09-09 04:16:48",NULL,NULL,1,7,7348905,...,GEO,49.80638888888889,24.76222222222222
1808100,1054195,NULL,190,"2014-09-09 04:17:49",NULL,NULL,1,8,1054195,...,GEO,49.805277777777775,24.92972222222222
1808100,3645422,NULL,210,"2014-09-09 04:18:56",NULL,NULL,1,9,3645422,...,GEO,49.80388888888889,25.125555555555554
1808100,20176,NULL,234,"2014-09-09 04:20:30",NULL,NULL,1,10,20176,...,DB,49.8022222222,25.391111111100003
1808100,26514,NULL,256,"2014-09-09 04:22:10",NULL,NULL,1,11,26514,...,DB,49.8,25.7005555556
1808100,7348906,NULL,270,"2014-09-09 04:23:17",NULL,NULL,1,12,7348906,...,GEO,49.79638888888889,25.90861111111111
1808100,7348907,NULL,300,"2014-09-09 04:26:24",NULL,NULL,1,13,7348907,...,GEO,49.785555555555554,26.505
1808100,7348908,NULL,310,"2014-09-09 04:27:18",NULL,NULL,1,14,7348908,...,GEO,49.78277777777778,26.671388888888888
1808100,32290,NULL,310,"2014-09-09 04:33:39",NULL,NULL,1,15,32290,...,DB,49.7616666667,27.85
1808100,200930,NULL,310,"2014-09-09 04:38:22",NULL,NULL,1,16,200930,...,GEO,49.969166666666666,28.674444444444443
1808100,302675,NULL,300,"2014-09-09 04:38:41",NULL,NULL,1,17,302675,...,GEO,49.9825,28.726666666666667
1808100,402473,NULL,285,"2014-09-09 04:39:21",NULL,NULL,1,18,402473,...,GEO,50.015277777777776,28.8575
1808100,9208,NULL,271,"2014-09-09 04:39:58",NULL,NULL,1,19,9208,...,DB,50.0416666667,28.962222222199998
1808100,242198,NULL,270,"2014-09-09 04:40:01",NULL,NULL,1,20,242198,...,GEO,50.04472222222222,28.975277777777777
1808100,133805,NULL,230,"2014-09-09 04:41:47",NULL,NULL,1,21,133805,...,GEO,50.117222222222225,29.275277777777777
1808100,30645,NULL,190,"2014-09-09 04:43:37",NULL,NULL,1,22,30645,...,DB,50.186388888900005,29.5625
1808100,183820,NULL,90,"2014-09-09 04:48:40",NULL,NULL,1,23,183820,...,GEO,50.416111111111114,30.249166666666667
1808100,242200,NULL,70,"2014-09-09 04:50:16",NULL,NULL,1,24,242200,...,GEO,50.474444444444444,30.424166666666668
1808100,15858,NULL,49,"2014-09-09 04:52:04",NULL,NULL,1,25,15858,...,DB,50.5330555556,30.5988888889
1808100,242201,NULL,35,"2014-09-09 04:53:29",NULL,NULL,1,26,242201,...,GEO,50.46805555555556,30.700555555555557
1808100,242202,NULL,25,"2014-09-09 04:54:33",NULL,NULL,1,27,242202,...,GEO,50.416111111111114,30.781666666666666
1808100,242203,NULL,15,"2014-09-09 04:55:43",NULL,NULL,1,28,242203,...,GEO,50.37722222222222,30.8425
1808100,87174,NULL,10,"2014-09-09 04:56:12",NULL,NULL,1,29,87174,...,GEO,50.36416666666667,30.86277777777778
1808100,2664,NULL,0,"2014-09-09 04:56:48",NULL,NULL,1,30,2664,...,A,50.344722222200005,30.8933333333
