trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2080014,3309,NULL,0,"2014-09-12 08:30:00",NULL,NULL,1,1,3309,...,A,51.956944444399994,4.4372222222
2080014,31316,NULL,20,"2014-09-12 08:30:51",NULL,NULL,1,2,31316,...,DB,51.9736111111,4.4808333333
2080014,3548823,NULL,50,"2014-09-12 08:32:02",NULL,NULL,1,3,3548823,...,GEO,51.965,4.3933333333333335
2080014,8900,NULL,50,"2014-09-12 08:38:39",NULL,NULL,1,4,8900,...,DB,51.8952777778,3.68
2080014,3548824,NULL,90,"2014-09-12 08:39:54",NULL,NULL,1,5,3548824,...,GEO,51.885,3.5594444444444444
2080014,3548825,NULL,130,"2014-09-12 08:41:20",NULL,NULL,1,6,3548825,...,GEO,51.868611111111115,3.366388888888889
2080014,412626,NULL,190,"2014-09-12 08:43:59",NULL,NULL,1,7,412626,...,GEO,51.838055555555556,3.004722222222222
2080014,30028,NULL,229,"2014-09-12 08:46:06",NULL,NULL,1,8,30028,...,DB,51.80944444439999,2.6669444444
2080014,211726,NULL,240,"2014-09-12 08:46:52",NULL,NULL,1,9,211726,...,GEO,51.80111111111111,2.5194444444444444
2080014,18129,NULL,240,"2014-09-12 08:48:23",NULL,NULL,1,10,18129,...,DB,51.7847222222,2.2241666667
2080014,27897,NULL,240,"2014-09-12 08:51:34",NULL,NULL,1,11,27897,...,DB,51.7475,1.6119444444
2080014,193810,NULL,240,"2014-09-12 08:51:48",NULL,NULL,1,12,193810,...,GEO,51.74472222222222,1.5691666666666666
2080014,49851,NULL,210,"2014-09-12 08:52:59",NULL,NULL,1,13,49851,...,GEO,51.73083333333334,1.3544444444444443
2080014,44813,NULL,190,"2014-09-12 08:53:48",NULL,NULL,1,14,44813,...,GEO,51.7225,1.2258333333333333
2080014,29905,NULL,170,"2014-09-12 08:54:37",NULL,NULL,1,15,29905,...,DB,51.71305555560001,1.0827777778
2080014,8876,NULL,170,"2014-09-12 08:55:25",NULL,NULL,1,16,8876,...,DB,51.7038888889,0.9494444444
2080014,82380,NULL,170,"2014-09-12 08:56:19",NULL,NULL,1,17,82380,...,GEO,51.69416666666667,0.8094444444444444
2080014,15753,NULL,150,"2014-09-12 08:57:07",NULL,NULL,1,18,15753,...,DB,51.685277777799996,0.6833333333
2080014,46613,NULL,150,"2014-09-12 08:58:46",NULL,NULL,1,19,46613,...,GEO,51.666111111111114,0.4247222222222222
2080014,46614,NULL,130,"2014-09-12 08:59:39",NULL,NULL,1,20,46614,...,GEO,51.65555555555556,0.2811111111111111
2080014,23865,NULL,110,"2014-09-12 09:00:32",NULL,NULL,1,21,23865,...,DB,51.6461111111,0.1516666667
2080014,46615,NULL,110,"2014-09-12 09:01:35",NULL,NULL,1,22,46615,...,GEO,51.62555555555556,0.07722222222222222
2080014,46616,NULL,90,"2014-09-12 09:02:29",NULL,NULL,1,23,46616,...,GEO,51.605,0.0025
2080014,46617,NULL,50,"2014-09-12 09:05:15",NULL,NULL,1,24,46617,...,GEO,51.55027777777778,-0.1963888888888889
2080014,46618,NULL,25,"2014-09-12 09:07:40",NULL,NULL,1,25,46618,...,GEO,51.50944444444445,-0.3452777777777778
2080014,46619,NULL,10,"2014-09-12 09:09:34",NULL,NULL,1,26,46619,...,GEO,51.48888888888889,-0.42
2080014,6123,NULL,0,"2014-09-12 09:10:57",NULL,NULL,1,27,6123,...,A,51.4775,-0.4613888889
