trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2089005,5367,NULL,0,"2014-09-12 11:30:00",NULL,NULL,1,1,5367,...,A,52.7019444444,-8.9247222222
2089005,161605,NULL,10,"2014-09-12 11:30:30",NULL,NULL,1,2,161605,...,GEO,52.69,-8.950555555555555
2089005,161606,NULL,15,"2014-09-12 11:30:45",NULL,NULL,1,3,161606,...,GEO,52.67777777777778,-8.976111111111111
2089005,161607,NULL,20,"2014-09-12 11:30:59",NULL,NULL,1,4,161607,...,GEO,52.67166666666667,-8.988888888888889
2089005,161608,NULL,20,"2014-09-12 11:31:08",NULL,NULL,1,5,161608,...,GEO,52.66583333333333,-9.001944444444444
2089005,17660,NULL,25,"2014-09-12 11:31:19",NULL,NULL,1,6,17660,...,DB,52.6597222222,-9.0147222222
2089005,238790,NULL,35,"2014-09-12 11:31:45",NULL,NULL,1,7,238790,...,GEO,52.6525,-9.056666666666667
2089005,238791,NULL,50,"2014-09-12 11:32:17",NULL,NULL,1,8,238791,...,GEO,52.64527777777778,-9.098888888888888
2089005,238792,NULL,90,"2014-09-12 11:33:40",NULL,NULL,1,9,238792,...,GEO,52.61666666666667,-9.267222222222221
2089005,238793,NULL,110,"2014-09-12 11:34:20",NULL,NULL,1,10,238793,...,GEO,52.59972222222222,-9.365277777777777
2089005,238794,NULL,150,"2014-09-12 11:35:47",NULL,NULL,1,11,238794,...,GEO,52.56138888888889,-9.589722222222223
2089005,13816,NULL,167,"2014-09-12 11:36:28",NULL,NULL,1,12,13816,...,DB,52.5422222222,-9.7019444444
2089005,720107,NULL,170,"2014-09-12 11:36:35",NULL,NULL,1,13,720107,...,GEO,52.54055555555556,-9.716388888888888
2089005,3068216,NULL,210,"2014-09-12 11:38:22",NULL,NULL,1,14,3068216,...,GEO,52.50333333333333,-10.035833333333333
2089005,4797421,NULL,250,"2014-09-12 11:40:29",NULL,NULL,1,15,4797421,...,GEO,52.45777777777778,-10.428055555555556
2089005,9164219,NULL,285,"2014-09-12 11:42:47",NULL,NULL,1,16,9164219,...,GEO,52.40555555555556,-10.878055555555555
2089005,9164220,NULL,300,"2014-09-12 11:43:54",NULL,NULL,1,17,9164220,...,GEO,52.37833333333333,-11.110555555555555
2089005,9164221,NULL,340,"2014-09-12 11:46:29",NULL,NULL,1,18,9164221,...,GEO,52.3175,-11.633055555555556
2089005,3074084,NULL,360,"2014-09-12 11:48:10",NULL,NULL,1,19,3074084,...,GEO,52.276666666666664,-11.965555555555556
2089005,10692,NULL,360,"2014-09-12 11:58:12",NULL,NULL,1,20,10692,...,DB,52,-14
2089005,24644,NULL,360,"2014-09-12 12:03:00",NULL,NULL,1,21,24644,...,DB,52,-15
2089005,9160754,NULL,350,"2014-09-12 12:03:20",NULL,NULL,1,22,9160754,...,GEO,52.00083333333333,-15.073055555555555
2089005,15305,NULL,350,"2014-09-12 12:26:23",NULL,NULL,1,23,15305,...,DB,52,-20
2089005,28795,NULL,350,"2014-09-12 13:16:31",NULL,NULL,1,24,28795,...,DB,50,-30
2089005,17448,NULL,350,"2014-09-12 14:11:47",NULL,NULL,1,25,17448,...,DB,47,-40
2089005,12851,NULL,350,"2014-09-12 15:09:39",NULL,NULL,1,26,12851,...,DB,44,-50
2089005,34380,NULL,350,"2014-09-12 15:25:07",NULL,NULL,1,27,34380,...,DB,44.1166666667,-52.821666666700004
2089005,20869,NULL,350,"2014-09-12 15:36:20",NULL,NULL,1,28,20869,...,DB,44.1666666667,-54.8833333333
2089005,9787162,NULL,360,"2014-09-12 15:37:10",NULL,NULL,1,29,9787162,...,GEO,44.14972222222222,-55.031666666666666
2089005,9782065,NULL,360,"2014-09-12 17:25:06",NULL,NULL,1,30,9782065,...,GEO,41.23,-71.53361111111111
2089005,7920276,NULL,340,"2014-09-12 17:25:44",NULL,NULL,1,31,7920276,...,GEO,41.20333333333333,-71.635
2089005,2888476,NULL,320,"2014-09-12 17:26:21",NULL,NULL,1,32,2888476,...,GEO,41.173611111111114,-71.74777777777778
2089005,2897567,NULL,300,"2014-09-12 17:26:57",NULL,NULL,1,33,2897567,...,GEO,41.15,-71.83805555555556
2089005,7920277,NULL,285,"2014-09-12 17:27:35",NULL,NULL,1,34,7920277,...,GEO,41.12027777777778,-71.95083333333334
2089005,2888477,NULL,210,"2014-09-12 17:31:08",NULL,NULL,1,35,2888477,...,GEO,40.99,-72.44722222222222
2089005,2888478,NULL,190,"2014-09-12 17:32:01",NULL,NULL,1,36,2888478,...,GEO,40.95444444444445,-72.5825
2089005,7924194,NULL,90,"2014-09-12 17:37:06",NULL,NULL,1,37,7924194,...,GEO,40.79138888888889,-73.20305555555555
2089005,9782067,NULL,70,"2014-09-12 17:38:23",NULL,NULL,1,38,9782067,...,GEO,40.75888888888889,-73.32722222222222
2089005,9782068,NULL,50,"2014-09-12 17:39:41",NULL,NULL,1,39,9782068,...,GEO,40.723333333333336,-73.4625
2089005,7924195,NULL,35,"2014-09-12 17:40:49",NULL,NULL,1,40,7924195,...,GEO,40.699444444444445,-73.55277777777778
2089005,9782069,NULL,25,"2014-09-12 17:41:34",NULL,NULL,1,41,9782069,...,GEO,40.681666666666665,-73.62027777777777
2089005,2888482,NULL,20,"2014-09-12 17:42:02",NULL,NULL,1,42,2888482,...,GEO,40.67583333333334,-73.64305555555555
2089005,7780,NULL,0,"2014-09-12 17:44:40",NULL,NULL,1,43,7780,...,A,40.6402777778,-73.7783333333
