trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2085632,3194,NULL,0,"2014-09-12 13:30:00",NULL,NULL,1,1,3194,...,A,53.8661111111,-1.6608333333
2085632,63436,NULL,10,"2014-09-12 13:30:08",NULL,NULL,1,2,63436,...,GEO,53.86611111111111,-1.6730555555555555
2085632,214429,NULL,15,"2014-09-12 13:30:21",NULL,NULL,1,3,214429,...,GEO,53.86611111111111,-1.6852777777777779
2085632,196490,NULL,70,"2014-09-12 13:32:10",NULL,NULL,1,4,196490,...,GEO,53.86527777777778,-1.8191666666666666
2085632,205417,NULL,80,"2014-09-12 13:32:28",NULL,NULL,1,5,205417,...,GEO,53.865,-1.8558333333333332
2085632,19500,NULL,80,"2014-09-12 13:35:40",NULL,NULL,1,6,19500,...,DB,53.8633333333,-2.1847222222
2085632,205418,NULL,110,"2014-09-12 13:36:35",NULL,NULL,1,7,205418,...,GEO,53.78638888888889,-2.232222222222222
2085632,134077,NULL,130,"2014-09-12 13:37:16",NULL,NULL,1,8,134077,...,GEO,53.72666666666667,-2.2694444444444444
2085632,205419,NULL,170,"2014-09-12 13:38:45",NULL,NULL,1,9,205419,...,GEO,53.59,-2.3538888888888887
2085632,25342,NULL,197,"2014-09-12 13:39:56",NULL,NULL,1,10,25342,...,DB,53.4705555556,-2.4280555556
2085632,205420,NULL,210,"2014-09-12 13:40:31",NULL,NULL,1,11,205420,...,GEO,53.41861111111111,-2.4880555555555555
2085632,205421,NULL,230,"2014-09-12 13:41:32",NULL,NULL,1,12,205421,...,GEO,53.32194444444445,-2.5997222222222223
2085632,205422,NULL,250,"2014-09-12 13:42:42",NULL,NULL,1,13,205422,...,GEO,53.217777777777776,-2.7197222222222224
2085632,11559,NULL,272,"2014-09-12 13:44:08",NULL,NULL,1,14,11559,...,DB,53.0766666667,-2.8827777778
2085632,21785,NULL,279,"2014-09-12 13:44:31",NULL,NULL,1,15,21785,...,DB,53.0308333333,-2.8866666667
2085632,205423,NULL,280,"2014-09-12 13:45:26",NULL,NULL,1,16,205423,...,GEO,52.92861111111111,-2.8955555555555557
2085632,10725,NULL,285,"2014-09-12 13:45:44",NULL,NULL,1,17,10725,...,DB,52.894444444399994,-2.8983333332999996
2085632,270080,NULL,310,"2014-09-12 13:47:13",NULL,NULL,1,18,270080,...,GEO,52.71222222222222,-2.8875
2085632,30633,NULL,310,"2014-09-12 13:49:01",NULL,NULL,1,19,30633,...,DB,52.5116666667,-2.8758333332999997
2085632,35380,NULL,310,"2014-09-12 13:52:36",NULL,NULL,1,20,35380,...,DB,52.1147222222,-2.9091666667
2085632,25851,NULL,310,"2014-09-12 13:54:09",NULL,NULL,1,21,25851,...,DB,51.9486111111,-2.9227777778
