trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2064782,7763,NULL,0,"2014-09-12 01:00:00",NULL,NULL,1,1,7763,...,A,48.071944444399996,-1.7322222221999999
2064782,82238,NULL,5,"2014-09-12 01:00:10",NULL,NULL,1,2,82238,...,GEO,48.08,-1.7377777777777779
2064782,82239,NULL,10,"2014-09-12 01:00:23",NULL,NULL,1,3,82239,...,GEO,48.088055555555556,-1.7433333333333334
2064782,82240,NULL,50,"2014-09-12 01:01:54",NULL,NULL,1,4,82240,...,GEO,48.153055555555554,-1.7883333333333333
2064782,82241,NULL,90,"2014-09-12 01:03:09",NULL,NULL,1,5,82241,...,GEO,48.23416666666667,-1.8444444444444446
2064782,21028,NULL,115,"2014-09-12 01:03:58",NULL,NULL,1,6,21028,...,DB,48.2991666667,-1.8894444444
2064782,82242,NULL,130,"2014-09-12 01:04:28",NULL,NULL,1,7,82242,...,GEO,48.34027777777778,-1.9169444444444443
2064782,82243,NULL,170,"2014-09-12 01:05:59",NULL,NULL,1,8,82243,...,GEO,48.47138888888889,-2.005
2064782,82244,NULL,180,"2014-09-12 01:06:25",NULL,NULL,1,9,82244,...,GEO,48.51222222222222,-2.0327777777777776
2064782,25555,NULL,180,"2014-09-12 01:07:13",NULL,NULL,1,10,25555,...,DB,48.586111111099996,-2.0822222222
2064782,82245,NULL,180,"2014-09-12 01:14:07",NULL,NULL,1,11,82245,...,GEO,48.55305555555555,-3.131666666666667
2064782,82246,NULL,170,"2014-09-12 01:14:36",NULL,NULL,1,12,82246,...,GEO,48.55083333333334,-3.2
2064782,82247,NULL,150,"2014-09-12 01:15:35",NULL,NULL,1,13,82247,...,GEO,48.54611111111111,-3.3497222222222223
2064782,82248,NULL,90,"2014-09-12 01:18:40",NULL,NULL,1,14,82248,...,GEO,48.53333333333333,-3.758611111111111
2064782,82249,NULL,70,"2014-09-12 01:20:04",NULL,NULL,1,15,82249,...,GEO,48.52861111111111,-3.908611111111111
2064782,82250,NULL,50,"2014-09-12 01:21:31",NULL,NULL,1,16,82250,...,GEO,48.52361111111111,-4.072222222222222
2064782,13497,NULL,48,"2014-09-12 01:21:41",NULL,NULL,1,17,13497,...,DB,48.5230555556,-4.0858333333
2064782,82251,NULL,35,"2014-09-12 01:22:50",NULL,NULL,1,18,82251,...,GEO,48.50277777777778,-4.176111111111111
2064782,82252,NULL,20,"2014-09-12 01:24:15",NULL,NULL,1,19,82252,...,GEO,48.47638888888889,-4.2925
2064782,512,NULL,0,"2014-09-12 01:26:29",NULL,NULL,1,20,512,...,A,48.447222222200004,-4.4216666667
