trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2092462,5106,NULL,0,"2014-09-12 19:44:00",NULL,NULL,1,1,5106,...,A,52.308055555600006,4.7641666667
2092462,4249353,NULL,25,"2014-09-12 19:45:10",NULL,NULL,1,2,4249353,...,GEO,52.274166666666666,4.811111111111111
2092462,4249354,NULL,35,"2014-09-12 19:45:35",NULL,NULL,1,3,4249354,...,GEO,52.26722222222222,4.820277777777778
2092462,4249355,NULL,50,"2014-09-12 19:46:06",NULL,NULL,1,4,4249355,...,GEO,52.246944444444445,4.848611111111111
2092462,4249356,NULL,90,"2014-09-12 19:47:24",NULL,NULL,1,5,4249356,...,GEO,52.17888888888889,4.942222222222222
2092462,4547333,NULL,110,"2014-09-12 19:48:06",NULL,NULL,1,6,4547333,...,GEO,52.138333333333335,4.998611111111111
2092462,13428,NULL,128,"2014-09-12 19:48:45",NULL,NULL,1,7,13428,...,DB,52.0975,5.054722222200001
2092462,2770910,NULL,130,"2014-09-12 19:48:49",NULL,NULL,1,8,2770910,...,GEO,52.089166666666664,5.058333333333334
2092462,4249357,NULL,140,"2014-09-12 19:49:10",NULL,NULL,1,9,4249357,...,GEO,52.064166666666665,5.0697222222222225
2092462,30975,NULL,140,"2014-09-12 19:50:58",NULL,NULL,1,10,30975,...,DB,51.9308333333,5.1291666667
2092462,540070,NULL,150,"2014-09-12 19:51:19",NULL,NULL,1,11,540070,...,GEO,51.90472222222222,5.140555555555555
2092462,540072,NULL,190,"2014-09-12 19:52:44",NULL,NULL,1,12,540072,...,GEO,51.7825,5.194444444444445
2092462,1184032,NULL,230,"2014-09-12 19:54:28",NULL,NULL,1,13,1184032,...,GEO,51.62555555555556,5.263333333333334
2092462,1185135,NULL,250,"2014-09-12 19:55:28",NULL,NULL,1,14,1185135,...,GEO,51.520833333333336,5.309444444444445
2092462,24971,NULL,273,"2014-09-12 19:56:48",NULL,NULL,1,15,24971,...,DB,51.39,5.3669444444
2092462,20996,NULL,291,"2014-09-12 19:58:00",NULL,NULL,1,16,20996,...,DB,51.2655555556,5.4211111111
2092462,10992,NULL,303,"2014-09-12 19:58:41",NULL,NULL,1,17,10992,...,DB,51.1825,5.4488888889
2092462,1938999,NULL,360,"2014-09-12 20:01:51",NULL,NULL,1,18,1938999,...,GEO,50.79666666666667,5.6161111111111115
2092462,28221,NULL,371,"2014-09-12 20:02:46",NULL,NULL,1,19,28221,...,DB,50.6825,5.665555555599999
2092462,28287,NULL,381,"2014-09-12 20:03:37",NULL,NULL,1,20,28287,...,DB,50.5858333333,5.7102777778
2092462,25025,NULL,387,"2014-09-12 20:04:19",NULL,NULL,1,21,25025,...,DB,50.49694444439999,5.7625
2092462,14254,NULL,391,"2014-09-12 20:04:44",NULL,NULL,1,22,14254,...,DB,50.442777777799996,5.7941666667
2092462,1700610,NULL,400,"2014-09-12 20:05:47",NULL,NULL,1,23,1700610,...,GEO,50.318888888888885,5.8661111111111115
2092462,1840109,NULL,410,"2014-09-12 20:07:37",NULL,NULL,1,24,1840109,...,GEO,50.11222222222222,5.985833333333333
2092462,13384,NULL,400,"2014-09-12 20:07:55",NULL,NULL,1,25,13384,...,DB,50.0791666667,6.005
2092462,33793,NULL,367,"2014-09-12 20:08:52",NULL,NULL,1,26,33793,...,DB,49.966388888900006,6.0697222222
2092462,12169,NULL,335,"2014-09-12 20:09:43",NULL,NULL,1,27,12169,...,DB,49.8613888889,6.1297222222
2092462,225194,NULL,330,"2014-09-12 20:09:51",NULL,NULL,1,28,225194,...,GEO,49.84527777777778,6.140555555555555
2092462,13053,NULL,330,"2014-09-12 20:11:38",NULL,NULL,1,29,13053,...,DB,49.6372222222,6.2816666667
2092462,26867,NULL,330,"2014-09-12 20:12:31",NULL,NULL,1,30,26867,...,DB,49.5233333333,6.3586111111
2092462,27455,NULL,330,"2014-09-12 20:13:00",NULL,NULL,1,31,27455,...,DB,49.4666666667,6.3916666667
2092462,19569,NULL,330,"2014-09-12 20:16:51",NULL,NULL,1,32,19569,...,DB,48.9863888889,6.7161111111
2092462,13452,NULL,330,"2014-09-12 20:21:14",NULL,NULL,1,33,13452,...,DB,48.3991666667,6.6933333333
2092462,900658,NULL,330,"2014-09-12 20:22:26",NULL,NULL,1,34,900658,...,GEO,48.23277777777778,6.686944444444444
2092462,16272,NULL,310,"2014-09-12 20:22:58",NULL,NULL,1,35,16272,...,DB,48.1588888889,6.6841666666999995
2092462,438273,NULL,300,"2014-09-12 20:23:14",NULL,NULL,1,36,438273,...,GEO,48.12388888888889,6.682777777777778
2092462,30436,NULL,278,"2014-09-12 20:24:06",NULL,NULL,1,37,30436,...,DB,48.0191666667,6.6788888888999995
2092462,44415,NULL,270,"2014-09-12 20:24:23",NULL,NULL,1,38,44415,...,GEO,47.98361111111111,6.6775
2092462,18473,NULL,270,"2014-09-12 20:25:48",NULL,NULL,1,39,18473,...,DB,47.806111111099995,6.6708333333
2092462,14060,NULL,270,"2014-09-12 20:26:48",NULL,NULL,1,40,14060,...,DB,47.6725,6.6658333333
2092462,15180,NULL,270,"2014-09-12 20:28:22",NULL,NULL,1,41,15180,...,DB,47.479444444399995,6.6586111111
2092462,22266,NULL,270,"2014-09-12 20:29:00",NULL,NULL,1,42,22266,...,DB,47.3966666667,6.6555555555999995
2092462,33576,NULL,270,"2014-09-12 20:30:26",NULL,NULL,1,43,33576,...,DB,47.2133333333,6.6488888889
2092462,4249358,NULL,270,"2014-09-12 20:31:04",NULL,NULL,1,44,4249358,...,GEO,47.153333333333336,6.570833333333334
