trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2086100,61,NULL,0,"2014-09-12 10:53:00",NULL,NULL,1,1,61,...,A,36.0758333333,10.4386111111
2086100,65791,NULL,5,"2014-09-12 10:53:59",NULL,NULL,1,2,65791,...,GEO,36.08444444444444,10.44111111111111
2086100,75572,NULL,25,"2014-09-12 10:54:54",NULL,NULL,1,3,75572,...,GEO,36.11944444444445,10.45138888888889
2086100,102340,NULL,35,"2014-09-12 10:55:18",NULL,NULL,1,4,102340,...,GEO,36.14555555555555,10.459166666666667
2086100,75573,NULL,50,"2014-09-12 10:55:49",NULL,NULL,1,5,75573,...,GEO,36.17166666666667,10.466944444444444
2086100,102341,NULL,70,"2014-09-12 10:56:28",NULL,NULL,1,6,102341,...,GEO,36.22388888888889,10.482222222222223
2086100,102342,NULL,90,"2014-09-12 10:57:09",NULL,NULL,1,7,102342,...,GEO,36.26722222222222,10.495
2086100,9806,NULL,94,"2014-09-12 10:57:19",NULL,NULL,1,8,9806,...,DB,36.284722222199996,10.5002777778
2086100,23551,NULL,128,"2014-09-12 10:58:35",NULL,NULL,1,9,23551,...,DB,36.4183333333,10.5413888889
2086100,193913,NULL,190,"2014-09-12 11:01:29",NULL,NULL,1,10,193913,...,GEO,36.715,10.633888888888889
2086100,23739,NULL,199,"2014-09-12 11:02:01",NULL,NULL,1,11,23739,...,DB,36.7761111111,10.652777777799999
2086100,102345,NULL,230,"2014-09-12 11:03:55",NULL,NULL,1,12,102345,...,GEO,36.9925,10.721111111111112
2086100,102346,NULL,250,"2014-09-12 11:05:25",NULL,NULL,1,13,102346,...,GEO,37.16583333333333,10.775833333333333
2086100,18285,NULL,276,"2014-09-12 11:07:40",NULL,NULL,1,14,18285,...,DB,37.4427777778,10.8633333333
2086100,9284,NULL,306,"2014-09-12 11:10:00",NULL,NULL,1,15,9284,...,DB,37.7427777778,10.959166666700002
2086100,200448,NULL,340,"2014-09-12 11:13:22",NULL,NULL,1,16,200448,...,GEO,38.14944444444444,11.0625
2086100,27800,NULL,340,"2014-09-12 11:31:39",NULL,NULL,1,17,27800,...,DB,40.3858333333,11.631666666700001
2086100,219047,NULL,360,"2014-09-12 11:34:13",NULL,NULL,1,18,219047,...,GEO,40.68805555555556,11.578333333333333
2086100,11934,NULL,360,"2014-09-12 11:41:12",NULL,NULL,1,19,11934,...,DB,41.5772222222,11.421388888900001
2086100,24149,NULL,360,"2014-09-12 11:46:27",NULL,NULL,1,20,24149,...,DB,42.215,11.7325
2086100,11880,NULL,360,"2014-09-12 11:50:05",NULL,NULL,1,21,11880,...,DB,42.6183333333,12.0486111111
2086100,30326,NULL,360,"2014-09-12 11:52:06",NULL,NULL,1,22,30326,...,DB,42.800277777800005,12.3108333333
2086100,13763,NULL,360,"2014-09-12 11:54:58",NULL,NULL,1,23,13763,...,DB,43.0516666667,12.6777777778
2086100,12666,NULL,360,"2014-09-12 11:57:46",NULL,NULL,1,24,12666,...,DB,43.295,13.0366666667
2086100,22846,NULL,360,"2014-09-12 11:58:45",NULL,NULL,1,25,22846,...,DB,43.383611111099995,13.1672222222
2086100,35650,NULL,360,"2014-09-12 12:01:05",NULL,NULL,1,26,35650,...,DB,43.586388888900004,13.471111111099999
2086100,23604,NULL,360,"2014-09-12 12:05:07",NULL,NULL,1,27,23604,...,DB,44.1066666667,13.6488888889
2086100,22561,NULL,360,"2014-09-12 12:06:00",NULL,NULL,1,28,22561,...,DB,44.221944444399995,13.686111111099999
2086100,13115,NULL,360,"2014-09-12 12:17:00",NULL,NULL,1,29,13115,...,DB,45.5233333333,14.739166666700001
2086100,34087,NULL,360,"2014-09-12 12:18:56",NULL,NULL,1,30,34087,...,DB,45.7458333333,14.9102777778
2086100,14979,NULL,360,"2014-09-12 12:23:41",NULL,NULL,1,31,14979,...,DB,46.2916666667,15.3363888889
2086100,26320,NULL,360,"2014-09-12 12:25:50",NULL,NULL,1,32,26320,...,DB,46.535555555600006,15.5205555556
2086100,9266,NULL,360,"2014-09-12 12:27:00",NULL,NULL,1,33,9266,...,DB,46.683055555600006,15.5805555556
2086100,11297,NULL,360,"2014-09-12 12:27:32",NULL,NULL,1,34,11297,...,DB,46.7588888889,15.6113888889
2086100,26963,NULL,360,"2014-09-12 12:29:34",NULL,NULL,1,35,26963,...,DB,47.0113888889,15.715277777799999
2086100,23754,NULL,360,"2014-09-12 12:31:07",NULL,NULL,1,36,23754,...,DB,47.21361111109999,15.7994444444
2086100,32104,NULL,360,"2014-09-12 12:32:28",NULL,NULL,1,37,32104,...,DB,47.38555555560001,15.8713888889
2086100,30660,NULL,360,"2014-09-12 12:36:19",NULL,NULL,1,38,30660,...,DB,47.880277777799996,16.0811111111
2086100,15952,NULL,360,"2014-09-12 12:40:38",NULL,NULL,1,39,15952,...,DB,48.4347222222,16.3211111111
2086100,34947,NULL,360,"2014-09-12 12:43:12",NULL,NULL,1,40,34947,...,DB,48.7697222222,16.205
2086100,224665,NULL,360,"2014-09-12 12:48:11",NULL,NULL,1,41,224665,...,GEO,49.35333333333333,15.76
2086100,23177,NULL,315,"2014-09-12 12:49:36",NULL,NULL,1,42,23177,...,DB,49.5133333333,15.6380555556
2086100,114125,NULL,300,"2014-09-12 12:50:02",NULL,NULL,1,43,114125,...,GEO,49.538333333333334,15.563611111111111
2086100,247466,NULL,285,"2014-09-12 12:50:36",NULL,NULL,1,44,247466,...,GEO,49.57138888888889,15.464166666666667
2086100,130587,NULL,270,"2014-09-12 12:51:11",NULL,NULL,1,45,130587,...,GEO,49.60861111111111,15.3525
2086100,198180,NULL,250,"2014-09-12 12:51:58",NULL,NULL,1,46,198180,...,GEO,49.65027777777778,15.228055555555555
2086100,13487,NULL,226,"2014-09-12 12:52:56",NULL,NULL,1,47,13487,...,DB,49.7041666667,15.066666666700002
2086100,1289108,NULL,190,"2014-09-12 12:54:26",NULL,NULL,1,48,1289108,...,GEO,49.75083333333333,14.876111111111111
2086100,1289109,NULL,170,"2014-09-12 12:55:17",NULL,NULL,1,49,1289109,...,GEO,49.775555555555556,14.775833333333333
2086100,1289110,NULL,150,"2014-09-12 12:56:10",NULL,NULL,1,50,1289110,...,GEO,49.8025,14.665555555555555
2086100,1289111,NULL,90,"2014-09-12 12:58:42",NULL,NULL,1,51,1289111,...,GEO,49.87638888888889,14.364722222222222
2086100,1289112,NULL,70,"2014-09-12 13:00:12",NULL,NULL,1,52,1289112,...,GEO,49.910833333333336,14.224444444444444
2086100,1289113,NULL,50,"2014-09-12 13:01:46",NULL,NULL,1,53,1289113,...,GEO,49.94277777777778,14.09388888888889
2086100,22259,NULL,43,"2014-09-12 13:02:30",NULL,NULL,1,54,22259,...,DB,49.955,14.043888888900002
2086100,118858,NULL,25,"2014-09-12 13:04:24",NULL,NULL,1,55,118858,...,GEO,50.047777777777775,14.18138888888889
2086100,533,NULL,0,"2014-09-12 13:06:02",NULL,NULL,1,56,533,...,A,50.1008333333,14.26
