trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2078845,5386,NULL,0,"2014-09-12 08:40:00",NULL,NULL,1,1,5386,...,A,37.9322222222,41.1163888889
2078845,2194577,NULL,25,"2014-09-12 08:40:17",NULL,NULL,1,2,2194577,...,GEO,37.93194444444445,41.110277777777775
2078845,2194578,NULL,35,"2014-09-12 08:40:39",NULL,NULL,1,3,2194578,...,GEO,37.93055555555556,41.091944444444444
2078845,2194579,NULL,50,"2014-09-12 08:41:08",NULL,NULL,1,4,2194579,...,GEO,37.92944444444444,41.07333333333333
2078845,2194580,NULL,70,"2014-09-12 08:41:44",NULL,NULL,1,5,2194580,...,GEO,37.9275,41.04277777777778
2078845,2194581,NULL,90,"2014-09-12 08:42:21",NULL,NULL,1,6,2194581,...,GEO,37.925,41.005833333333335
2078845,2194582,NULL,110,"2014-09-12 08:43:01",NULL,NULL,1,7,2194582,...,GEO,37.922222222222224,40.963055555555556
2078845,2194583,NULL,150,"2014-09-12 08:44:27",NULL,NULL,1,8,2194583,...,GEO,37.91583333333333,40.86472222222222
2078845,2194584,NULL,190,"2014-09-12 08:46:07",NULL,NULL,1,9,2194584,...,GEO,37.908055555555556,40.74194444444444
2078845,2194585,NULL,210,"2014-09-12 08:47:04",NULL,NULL,1,10,2194585,...,GEO,37.903055555555554,40.66833333333334
2078845,2194586,NULL,250,"2014-09-12 08:49:19",NULL,NULL,1,11,2194586,...,GEO,37.89111111111111,40.48416666666667
2078845,2194587,NULL,270,"2014-09-12 08:50:41",NULL,NULL,1,12,2194587,...,GEO,37.88361111111111,40.3675
2078845,22554,NULL,292,"2014-09-12 08:52:31",NULL,NULL,1,13,22554,...,DB,37.873333333299996,40.2080555556
2078845,173319,NULL,340,"2014-09-12 08:56:13",NULL,NULL,1,14,173319,...,GEO,38.03611111111111,39.63944444444444
2078845,242609,NULL,360,"2014-09-12 08:58:10",NULL,NULL,1,15,242609,...,GEO,38.121944444444445,39.339166666666664
2078845,32160,NULL,365,"2014-09-12 08:58:57",NULL,NULL,1,16,32160,...,DB,38.152777777800004,39.2319444444
2078845,20396,NULL,372,"2014-09-12 09:00:04",NULL,NULL,1,17,20396,...,DB,38.1952777778,39.0772222222
2078845,266543,NULL,380,"2014-09-12 09:01:15",NULL,NULL,1,18,266543,...,GEO,38.24055555555555,38.914722222222224
2078845,20006,NULL,380,"2014-09-12 09:02:13",NULL,NULL,1,19,20006,...,DB,38.2769444444,38.784722222199996
2078845,20047,NULL,380,"2014-09-12 09:07:17",NULL,NULL,1,20,20047,...,DB,38.4625,38.1119444444
2078845,22843,NULL,380,"2014-09-12 09:14:37",NULL,NULL,1,21,22843,...,DB,38.7894444444,37.1441666667
2078845,9947,NULL,380,"2014-09-12 09:23:04",NULL,NULL,1,22,9947,...,DB,39.1541666667,36.0286111111
2078845,25998,NULL,380,"2014-09-12 09:29:16",NULL,NULL,1,23,25998,...,DB,39.4016666667,35.182777777800005
2078845,34812,NULL,380,"2014-09-12 09:40:47",NULL,NULL,1,24,34812,...,DB,39.832222222199995,33.6105555556
2078845,21917,NULL,380,"2014-09-12 09:46:40",NULL,NULL,1,25,21917,...,DB,40.0697222222,32.8102777778
2078845,28472,NULL,380,"2014-09-12 09:52:08",NULL,NULL,1,26,28472,...,DB,40.3313888889,32.0922222222
2078845,25183,NULL,380,"2014-09-12 09:58:25",NULL,NULL,1,27,25183,...,DB,40.5252777778,31.210277777800002
2078845,91520,NULL,380,"2014-09-12 09:58:59",NULL,NULL,1,28,91520,...,GEO,40.5425,31.129166666666666
2078845,190368,NULL,360,"2014-09-12 09:59:44",NULL,NULL,1,29,190368,...,GEO,40.569722222222225,31.00138888888889
2078845,11576,NULL,303,"2014-09-12 10:01:32",NULL,NULL,1,30,11576,...,DB,40.6313888889,30.7113888889
2078845,19781,NULL,276,"2014-09-12 10:02:36",NULL,NULL,1,31,19781,...,DB,40.6666666667,30.5425
2078845,114468,NULL,270,"2014-09-12 10:02:51",NULL,NULL,1,32,114468,...,GEO,40.67638888888889,30.495555555555555
2078845,32031,NULL,245,"2014-09-12 10:03:56",NULL,NULL,1,33,32031,...,DB,40.7105555556,30.331388888899998
2078845,145043,NULL,230,"2014-09-12 10:04:36",NULL,NULL,1,34,145043,...,GEO,40.73138888888889,30.23
2078845,8809,NULL,188,"2014-09-12 10:06:36",NULL,NULL,1,35,8809,...,DB,40.7844444444,29.9705555556
2078845,91522,NULL,150,"2014-09-12 10:08:25",NULL,NULL,1,36,91522,...,GEO,40.889722222222225,29.765555555555554
2078845,16534,NULL,142,"2014-09-12 10:08:49",NULL,NULL,1,37,16534,...,DB,40.909722222199996,29.7266666667
2078845,90219,NULL,130,"2014-09-12 10:09:24",NULL,NULL,1,38,90219,...,GEO,40.88944444444444,29.647777777777776
2078845,19760,NULL,113,"2014-09-12 10:10:16",NULL,NULL,1,39,19760,...,DB,40.8630555556,29.546388888899997
2078845,90220,NULL,110,"2014-09-12 10:10:26",NULL,NULL,1,40,90220,...,GEO,40.85666666666667,29.524166666666666
2078845,27688,NULL,90,"2014-09-12 10:11:30",NULL,NULL,1,41,27688,...,DB,40.821666666700004,29.4022222222
2078845,15300,NULL,68,"2014-09-12 10:13:02",NULL,NULL,1,42,15300,...,DB,40.766388888899996,29.252222222199997
2078845,21008,NULL,53,"2014-09-12 10:14:09",NULL,NULL,1,43,21008,...,DB,40.729722222199996,29.153611111100002
2078845,35899,NULL,46,"2014-09-12 10:14:48",NULL,NULL,1,44,35899,...,DB,40.707777777800004,29.094722222199998
2078845,83032,NULL,25,"2014-09-12 10:16:46",NULL,NULL,1,45,83032,...,GEO,40.81,29.209722222222222
2078845,6174,NULL,0,"2014-09-12 10:19:20",NULL,NULL,1,46,6174,...,A,40.8983333333,29.3091666667
