trajectory_id,geopoint_id,distance,fl,time_over,type,rel_dist,visible,order,id,coords,type,st_x(gpt.coords),st_y(gpt.coords)
2072599,252,NULL,0,"2014-09-12 10:00:00",NULL,NULL,1,1,252,...,A,59.651944444399994,17.9186111111
2072599,42357,NULL,5,"2014-09-12 10:00:09",NULL,NULL,1,2,42357,...,GEO,59.645,17.91611111111111
2072599,42358,NULL,15,"2014-09-12 10:00:33",NULL,NULL,1,3,42358,...,GEO,59.63777777777778,17.913611111111113
2072599,12900,NULL,25,"2014-09-12 10:00:54",NULL,NULL,1,4,12900,...,DB,59.6236111111,17.9083333333
2072599,42359,NULL,30,"2014-09-12 10:01:05",NULL,NULL,1,5,42359,...,GEO,59.617222222222225,17.893333333333334
2072599,34611,NULL,30,"2014-09-12 10:01:40",NULL,NULL,1,6,34611,...,DB,59.591388888900006,17.833055555599998
2072599,35919,NULL,30,"2014-09-12 10:02:33",NULL,NULL,1,7,35919,...,DB,59.5672222222,17.7394444444
2072599,28016,NULL,50,"2014-09-12 10:03:09",NULL,NULL,1,8,28016,...,DB,59.568055555600004,17.6747222222
2072599,42360,NULL,70,"2014-09-12 10:03:45",NULL,NULL,1,9,42360,...,GEO,59.60444444444445,17.68
2072599,136027,NULL,90,"2014-09-12 10:04:20",NULL,NULL,1,10,136027,...,GEO,59.64972222222222,17.68638888888889
2072599,136028,NULL,110,"2014-09-12 10:04:56",NULL,NULL,1,11,136028,...,GEO,59.70388888888889,17.694444444444443
2072599,29227,NULL,143,"2014-09-12 10:06:01",NULL,NULL,1,12,29227,...,DB,59.812777777799994,17.71
2072599,136029,NULL,210,"2014-09-12 10:08:39",NULL,NULL,1,13,136029,...,GEO,60.0725,17.8575
2072599,136030,NULL,250,"2014-09-12 10:10:40",NULL,NULL,1,14,136030,...,GEO,60.28888888888889,17.980555555555554
2072599,14714,NULL,261,"2014-09-12 10:11:21",NULL,NULL,1,15,14714,...,DB,60.3669444444,18.0247222222
2072599,170802,NULL,300,"2014-09-12 10:14:05",NULL,NULL,1,16,170802,...,GEO,60.69583333333333,18.129444444444445
2072599,170803,NULL,340,"2014-09-12 10:16:40",NULL,NULL,1,17,170803,...,GEO,61.00666666666667,18.22861111111111
2072599,2979342,NULL,360,"2014-09-12 10:18:16",NULL,NULL,1,18,2979342,...,GEO,61.193333333333335,18.288055555555555
2072599,5374464,NULL,380,"2014-09-12 10:20:21",NULL,NULL,1,19,5374464,...,GEO,61.45111111111111,18.370277777777776
2072599,9778910,NULL,390,"2014-09-12 10:21:48",NULL,NULL,1,20,9778910,...,GEO,61.62,18.424166666666668
2072599,13250,NULL,390,"2014-09-12 10:36:38",NULL,NULL,1,21,13250,...,DB,63.406111111099996,18.993611111099998
2072599,9144,NULL,390,"2014-09-12 10:39:57",NULL,NULL,1,22,9144,...,DB,63.8116666667,19.0975
2072599,8134163,NULL,400,"2014-09-12 10:41:21",NULL,NULL,1,23,8134163,...,GEO,63.981944444444444,19.144166666666667
2072599,22502,NULL,400,"2014-09-12 10:51:22",NULL,NULL,1,24,22502,...,DB,65.1830555556,19.4725
2072599,13752,NULL,400,"2014-09-12 10:55:28",NULL,NULL,1,25,13752,...,DB,65.6708333333,19.6155555556
2072599,3844226,NULL,400,"2014-09-12 11:01:54",NULL,NULL,1,26,3844226,...,GEO,66.43833333333333,19.85472222222222
2072599,170806,NULL,360,"2014-09-12 11:03:21",NULL,NULL,1,27,170806,...,GEO,66.61666666666666,19.910555555555554
2072599,1315784,NULL,340,"2014-09-12 11:03:59",NULL,NULL,1,28,1315784,...,GEO,66.68805555555555,19.932777777777776
2072599,14846,NULL,327,"2014-09-12 11:04:23",NULL,NULL,1,29,14846,...,DB,66.7416666667,19.9494444444
