,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed
0,KLM03-01,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
1,KLM03-10,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
2,KLM03-09,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
3,KLM03-08,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
4,KLM03-07,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
5,KLM03-06,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
6,KLM03-05,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
7,KLM03-04,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
8,KLM03-03,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
9,KLM03-02,01-Sep-2017 02:36:00,01-Sep-2017 02:36:05,0.889
10,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
11,KLM01-10,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
12,KLM01-09,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
13,KLM01-08,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
14,KLM01-07,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
15,KLM01-06,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
16,KLM01-05,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
17,KLM01-04,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
18,KLM01-03,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
19,KLM01-02,01-Sep-2017 01:49:00,01-Sep-2017 04:25:00,6561.861
20,KLM02-01,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
21,KLM02-10,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
22,KLM02-09,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
23,KLM02-08,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
24,KLM02-07,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
25,KLM02-06,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
26,KLM02-05,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
27,KLM02-04,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
28,KLM02-03,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
29,KLM02-02,01-Sep-2017 02:05:00,01-Sep-2017 05:04:58,7718.29
