Column1;Ensemble;Delay;AC ID;Date;Departure;Arrival;Fuel Consumed;[ 0 ];[ 1 ];[ 2 ];[ 3 ];[ 4 ];[ 5 ];[ 6 ];[ 7 ];[ 8 ];[ 9 ];[ 10 ];[ 11 ];[ 12 ];[ 13 ];[ 14 ];[ 15 ];[ 16 ];[ 17 ];[ 18 ];[ 19 ]
1;01;720;ADH931-%0;12-Sep-2014;05:33:29;06:18:03;2363,957;05:33:29;05:38:04;05:40:28;05:42:50;05:48:17;05:49:34;05:51:18;05:52:49;05:55:06;05:57:39;06:01:09;06:04:10;06:06:39;06:07:49;06:10:42;06:14:20;06:15:41;06:17:08;06:18:02;06:18:03
2;02;720;ADH931-%0;12-Sep-2014;05:33:29;06:15:49;2042,84;05:33:29;05:37:54;05:40:13;05:42:36;05:48:00;05:49:15;05:50:57;05:52:21;05:54:29;05:56:59;06:00:26;06:03:23;06:05:41;06:06:49;06:09:32;06:12:20;06:13:35;06:14:57;06:15:48;06:15:49
3;03;720;ADH931-%0;12-Sep-2014;05:33:29;06:17:19;2339,272;05:33:29;05:38:06;05:40:31;05:42:54;05:48:14;05:49:33;05:51:17;05:52:48;05:55:04;05:57:36;06:01:04;06:04:03;06:06:29;06:07:39;06:10:27;06:13:48;06:15:06;06:16:27;06:17:18;06:17:19
4;04;720;ADH931-%0;12-Sep-2014;05:33:29;06:17:21;2339,074;05:33:29;05:38:06;05:40:30;05:42:53;05:48:18;05:49:33;05:51:17;05:52:46;05:55:02;05:57:33;06:01:01;06:04:00;06:06:27;06:07:37;06:10:25;06:13:45;06:15:04;06:16:28;06:17:20;06:17:21
5;05;720;ADH931-%0;12-Sep-2014;05:33:29;06:18:50;1267,324;05:33:29;05:38:02;05:40:24;05:42:53;05:48:38;05:49:53;05:51:39;05:53:20;05:55:47;05:58:18;06:01:45;06:04:43;06:07:25;06:08:39;06:11:39;06:15:17;06:16:34;06:17:57;06:18:49;06:18:50
6;06;720;ADH931-%0;12-Sep-2014;05:33:29;06:19:50;1323,624;05:33:29;05:38:01;05:40:24;05:42:56;05:48:39;05:49:58;05:51:44;05:53:27;05:55:55;05:58:27;06:01:56;06:04:55;06:07:40;06:08:55;06:12:26;06:16:12;06:17:32;06:18:56;06:19:49;06:19:50
7;07;720;ADH931-%0;12-Sep-2014;05:33:29;06:18:54;1271,842;05:33:29;05:38:03;05:40:27;05:42:57;05:48:42;05:49:57;05:51:42;05:53:23;05:55:50;05:58:20;06:01:48;06:04:47;06:07:29;06:08:43;06:11:43;06:15:21;06:16:39;06:18:01;06:18:53;06:18:54
8;08;720;ADH931-%0;12-Sep-2014;05:33:29;06:17:26;1142,786;05:33:29;05:37:57;05:40:18;05:42:46;05:48:26;05:49:41;05:51:25;05:53:00;05:55:21;05:57:51;06:01:17;06:04:15;06:06:39;06:07:48;06:10:34;06:13:59;06:15:14;06:16:34;06:17:25;06:17:26
9;09;720;ADH931-%0;12-Sep-2014;05:33:29;06:16:04;977,596;05:33:29;05:37:54;05:40:14;05:42:40;05:48:07;05:49:24;05:51:06;05:52:35;05:54:49;05:57:19;06:00:45;06:03:42;06:06:00;06:07:07;06:09:50;06:12:38;06:13:52;06:15:12;06:16:03;06:16:04
10;10;720;ADH931-%0;12-Sep-2014;05:33:29;06:18:59;1614,962;05:33:29;05:38:06;05:40:31;05:42:55;05:48:24;05:49:40;05:51:26;05:53:02;05:55:24;05:57:57;06:01:27;06:04:27;06:07:12;06:08:27;06:11:32;06:15:19;06:16:39;06:18:04;06:18:58;06:18:59
11;11;720;ADH931-%0;12-Sep-2014;05:33:29;06:19:06;1273,55;05:33:29;05:37:58;05:40:19;05:42:50;05:48:30;05:49:49;05:51:35;05:53:17;05:55:45;05:58:16;06:01:45;06:04:44;06:07:28;06:08:43;06:11:46;06:15:29;06:16:49;06:18:13;06:19:05;06:19:06
12;12;720;ADH931-%0;12-Sep-2014;05:33:29;06:16:02;2079,912;05:33:29;05:38:03;05:40:27;05:42:51;05:48:10;05:49:28;05:51:12;05:52:41;05:54:56;05:57:26;06:00:50;06:03:45;06:06:03;06:07:10;06:09:52;06:12:37;06:13:50;06:15:10;06:16:01;06:16:02
13;13;720;ADH931-%0;12-Sep-2014;05:33:29;06:18:20;1315,325;05:33:29;05:37:57;05:40:18;05:42:48;05:48:26;05:49:44;05:51:28;05:53:09;05:55:35;05:58:04;06:01:30;06:04:26;06:07:06;06:08:19;06:11:14;06:14:50;06:16:06;06:17:28;06:18:19;06:18:20
;;;;;;;1642,466462;;;;;;;;;;;;;;;;;;;;
