,Ensemble,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed
0,01,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:01,5822.285
0,02,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:20,5843.858
0,03,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:31,5846.921
0,04,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:50,5819.977
0,05,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:19,5838.226
0,06,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:17,5834.046
0,07,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:41,5810.83
0,08,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:49,5858.4
0,09,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:03,5829.592
0,10,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:23,5840.559
0,11,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:43,5851.28
0,12,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:19,5797.568
0,13,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:06,5830.045
0,14,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:50,5817.387
0,15,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:53,5822.561
0,16,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:17,5838.683
0,17,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:51,5817.028
0,18,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:26,5845.07
0,19,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:33,5846.098
0,20,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:04,5829.495
0,21,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:07,5836.002
0,22,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:42,5810.703
0,23,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:13,5833.463
0,24,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:12,5834.832
0,25,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:02,5828.319
0,26,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:54,5819.666
0,27,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:08,5829.687
0,28,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:10,5831.228
0,29,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:45:37,5811.441
0,30,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:43,5856.462
0,31,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:24,5840.88
0,32,AFL2352,09-Dec-2014 12:35:00,09-Dec-2014 14:46:18,5835.608
